,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
I have been able to learn interesting new skills recently.,-0.2494520265639758,0.061910866756785664,0.15654558132113713,-0.016199619706384286,0.07452587653959417,-0.23137151928316585,0.02324735026964947,-0.14629740520730483,-0.22917512185524072,0.08516247959265255
I often do not feel very capable.,-0.046768217881064576,0.05584550393519876,-0.08215594005760175,0.10059281915349735,0.1411328836417577,0.1913469484206745,0.08764697721570827,-0.14006380725153783,0.10594254770579842,-0.06467611264206954
I pretty much keep to myself and don't have a lot of social contacts.,0.21784121599363637,0.09804322607960976,-0.016737735136180404,0.5908310112603329,-0.03860176824500324,-0.20214005980711203,-0.11877117079791852,-0.13207557920438007,0.25134626773077534,-0.23287315649752588
I pretty much keep to myself when I am at work.,0.08196685873322201,0.15495477593293447,0.3025239227014942,0.26076522962584664,0.4205397391990663,-0.2485808202195399,0.20874282288506568,0.15725620087324182,-0.11267797259901047,0.09455104171306178
I really like the people I interact with.,-0.015175254536416799,0.1750007669639571,0.00445876205637617,-0.18278580859191748,0.13616374943599793,-0.11812659941964812,-0.1054112486296678,-0.0462810014282688,-0.0206022198678448,-0.09819898489275791
I really like the people I work with.,-0.029516914457575115,0.16380083366700832,0.11360253315966028,-0.08223131842448594,-0.02314907771821004,-0.07880149990402503,-0.22566915497689974,-0.00047047455780248326,-0.205276472533104,-0.14352500154115155
"In my daily life, I frequently have to do what I am told.",0.20098557094982558,0.07017390823067424,0.10076769287327707,0.05433552953252125,0.009762552511360944,-0.019423916812399057,-0.14521204239147914,0.05083417937559374,-0.19013593527525405,0.06966009870927611
In my life I do not get much of a chance to show how capable I am.,-0.0990086263128676,0.09829541436290785,-0.00641811684587836,0.011392399945665242,0.23859454279534886,0.09460820940567599,0.12255491746243657,-0.3067515168912782,0.1538640615814356,0.21096344740034928
Most days I feel a sense of accomplishment from what I do.,-0.08723083800528231,0.1762100419014491,0.1977185460491246,-0.10085660904560048,0.08185623485214509,-0.18054527512733765,-0.001152799427760313,0.1342574360453281,0.05086514415917891,0.03707984543824776
Most days I feel a sense of accomplishment from working.,0.014715578480955739,0.1356533964575335,0.07764769703591877,-0.0024591956337142685,0.018082753175940627,-0.13102206111898224,0.04095200476954455,0.0428044446431263,0.009952312824218996,-0.1312674462879816
My feelings are taken into consideration at work.,0.003240642598213063,0.2303258066547456,-0.14960831364446828,0.014378243886165,0.023970969273941104,-0.06763438874060358,-0.008402622364590863,0.3765926871568372,0.15157708126286687,0.12245483953654288
"Often, I do not feel very competent.",-0.024512848519298108,0.14318766631920785,-0.09241744575294808,0.12777724030486687,0.11854065821773666,0.0614212472090019,0.020686104788484986,0.1324150361103664,0.03955190095963287,0.03499511924545683
On my job I do not get much of a chance to show how capable I am.,-0.10290896120544693,0.14974615489885015,-0.029639559368313768,0.010965234124327405,0.02959705365089995,0.21254630082614917,-0.1844047199229442,-0.07526616716590614,0.16920733740001037,0.41602100986232793
People I interact with on a daily basis tend to take my feelings into consideration.,-0.13398454620680125,0.16328596599209083,-0.17237630123635753,-0.06041759536698109,-0.19392801838958149,-0.09734865131783806,-0.10742445612561749,-0.025259781163406617,-0.0743050316845563,0.08602864600697994
People I know tell me I am good at what I do.,0.021217013631466827,0.13857501806328662,0.19513757544149296,-0.026177800689897265,-0.1180791710984962,0.038303032309974006,-0.18950268051133312,-0.07748126645750396,0.07901401003514695,-0.017543689239048643
People are generally pretty friendly towards me.,0.07111965095424126,0.11980646147789396,0.00468984449862337,-0.08826995143478537,-0.058881050294837915,-0.09776016929763219,-0.03442557783842501,-0.18626741531455324,0.06825115279416659,-0.06908712173845583
People at work are pretty friendly towards me.,0.05735358546603624,0.1379514384978152,-0.06893242265770959,-0.10727511149815945,0.04146335822519768,-0.06788020062336023,0.26646354370512026,-0.08499926108374327,0.1811859344798788,0.06853374605879758
People at work care about me.,-0.01331808336185861,0.16096570168948549,-0.21583405266033207,-0.25123063895984055,0.04373253129367946,0.11916825222743299,0.17270964051437987,-0.10731681274122148,-0.022238748882798934,-0.09968523942700816
People at work tell me I am good at what I do.,0.03947919728272458,0.15282931643057243,0.21469614593742933,-0.05567137011542544,-0.05035409754540285,0.012262910582580987,-0.006986007460297078,-0.06037630931329281,0.13230730895471451,-0.06880540327145596
People in my life care about me.,-0.037255551566012686,0.18479899678328118,-0.11575772432248577,-0.144771346358148,-0.14159623443953856,-0.055839804412484186,0.3332007576521335,0.10096301683686974,-0.36757663389762724,-0.0013039650377845158
The people I interact with regularly do not seem to like me much.,-0.02739378661305837,0.050112623703820754,-0.10536018254892715,0.0542138236484508,0.007281792943030374,0.05776221163900682,0.005096200880783635,-0.008808690357626738,-0.02791951326647433,0.06818385039153416
The people I work with do not seem to like me much.,-0.026730218828491265,0.05246974526804921,-0.11737835694153259,0.14519562494888474,-0.07348851092587431,-0.011672502703770814,0.1542939191592658,-0.03373951380392126,0.045036389344643275,0.0662542455655496
There are not many people at work that I am close to.,0.3790568494579799,0.12296769870890058,-0.22885508411773922,0.09495780514423065,-0.20583390110229602,-0.05740724687649089,-0.004249230191183298,-0.03311510079211631,-0.17972840089223108,0.19595809803436437
There are not many people that I am close to.,0.3472476429153224,0.15704353096493,-0.1367583301150073,-0.02358130492660552,-0.23140520878260457,-0.16185073821835508,-0.15299860246475952,-0.19295847639220118,-0.12885816229867444,0.21155853465739818
There is not much opportunity for me to decide for myself how to do things in my daily life.,0.27800943172177967,-0.006640502374703981,0.08021138859415498,-0.05587885396695122,0.04180436434085817,0.16873636091809494,0.3714978380282675,0.051857945056692306,0.06140459050242221,0.06649767149858872
There is not much opportunity for me to decide for myself how to go about my work.,0.20768390653486024,0.0384830022743672,0.17049130696114276,0.07499931872514153,-0.07814827025852687,0.4347982329424892,0.19853106578032506,-0.14264115288252155,-0.20191309984163175,-0.19430172077220342
"When I am at work, I have to do what I am told.",0.16907541441739216,0.1694854768023714,0.17543881231592254,-0.09943328166310339,0.007184051524612111,0.04847614728766764,-0.02615193508669884,-0.04257392288906268,0.047273535295268745,-0.03331554836490858
"When I am with XXXXXXX, I feel a lot of closeness and intimacy.",-0.16438104768430184,0.152702531110898,-0.09970359663473753,-0.00394033868297024,-0.12192039442608062,-0.008032615195904452,0.14910220364532537,0.093247640310913,-0.0032328444706263004,-0.07256448515749851
"When I am with XXXXXXX, I feel controlled and pressured to be certain ways.",0.18838094529970487,0.10622290675779693,-0.08770152670194668,-0.1695296537664407,0.16694129784954426,0.18962839854669308,-0.09385753505259131,0.3999721292347392,-0.017666325359069833,0.1408431983685015
"When I am with XXXXXXX, I feel free to be who I am.",-0.05777600009562098,0.1898323090230035,0.06869729466796283,-0.09897624612306737,-0.18386293120893488,-0.12378157011290376,0.08571365594388673,0.0941998650209938,0.3934888822662309,0.14256993407228086
"When I am with XXXXXXX, I feel like a competent person.",0.17046836337141424,0.1022545794572519,0.13658619886462303,-0.07995488504037829,-0.04334233680466889,0.16425280675518975,-0.12569953957340538,-0.0476175718294814,0.03595835312114582,0.19927932364527415
"When I am with XXXXXXX, I feel loved and cared about.",-0.12470252751125366,0.25646257910813597,-0.12201495522405066,0.07199269976731291,-0.09057196798924738,-0.038367495151400643,0.022737809340912192,0.2285700243247421,0.15583687472090152,-0.2159548820229117
"When I am with XXXXXXX, I feel very capable and effective.",0.10912888117142042,0.08478720350651685,0.021875495003523888,-0.16319966067363356,0.024374467405958288,0.13993741609601645,-0.15511762016466743,-0.023733554119627347,0.16959047715483816,-0.0985392270322602
"When I am with XXXXXXX, I have a say in what happens, and I can voice my opinion.",-0.010609263625430567,0.17320373180784585,0.12973770014941974,0.13801620339702864,-0.15160306217456795,-0.01634050234112649,0.13462760716542288,-0.02607485601390173,-0.145005494301661,0.12257131793217205
"When I am with XXXXXXX, I often feel a lot of distance in our relationship.",0.20682435662821486,0.15756691542801207,-0.2728712873754308,0.02006906016476608,0.32554455872963767,0.05303151973160074,-0.16091130568087067,-0.023490796824314746,0.014139009597375282,-0.23366852054771642
"When I am with XXXXXXX, I often feel inadequate or incompetent.",-0.021932416946275842,0.08618784877130482,-0.16177214303983897,0.12926162433543084,-0.022218340175485445,0.07784074615496649,0.09381570566252703,0.18949749939523158,-0.12521518068332754,-0.006424015438660585
When I am working I often do not feel very capable.,-0.0075192606018089705,0.1478661288924521,-0.07362661252844215,0.15283542352698473,0.24751107246782547,0.15002810996450444,0.06428901526943491,-0.09297480414413087,-0.05946894373470764,0.0818520608320297
