,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
"Is dominant, acts as a leader.",0.1929745669201056,-0.006232315675494931,0.039595058105888814,-0.03593323267882461,0.3223604644530154,0.024860459757227293,-0.03750525121499582,-0.0682480082643539,0.024453716767356835,0.19120138940575934,-0.02751133410700457,0.06563487390483694,0.17752503698168942,0.026611535876148867
"Is efficient, gets things done.",-0.048901138341029035,-0.027053060555770832,-0.03819230838657432,0.09244607101757131,-0.020709568420521778,0.13866089223274214,-0.14476658062460251,0.1584921931304247,0.0636176500433663,0.0768155581789168,0.015976057998024894,0.09371192568393596,-0.0102331911214108,-0.027855211783632056
"Is emotionally stable, not easily upset.",-0.19070180576880755,0.0689737344193272,0.023784296306092887,0.010368294294788638,0.07042020973073607,-0.03499060261866876,-0.15919431299756523,0.15025417457499304,0.026692532472712232,-0.07266322675903833,-0.04170625287967536,0.23234562209869758,-0.08551444784478729,-0.008787587291041565
"Is fascinated by art, music, or literature.",-0.01592628015105328,0.003435868964342331,-0.07438531774902947,-0.12002550946401477,0.18095930396342888,-0.12590723530468156,-0.11475385907763733,-0.01406828798456385,0.07928516414060213,-0.0398949505216089,0.004891945028672184,-0.056379078733855725,0.05864197508909197,-0.15845353606026363
Is full of energy.,0.022279768900478263,0.07529594482509669,-0.2620467770268741,-0.021570963768582994,0.3205777324651896,-0.007826089247808681,0.13111619998712443,-0.02282831142662145,-0.050898031241689914,-0.038909974784571866,-0.036125132074308626,-0.01176005302586236,-0.2699497096301885,0.012703000190626555
Is helpful and unselfish with others.,-0.1066884136553775,0.06191626969202866,-0.0513203295673665,0.07411512737281221,0.06354534004175175,-0.023473287644831538,-0.05899877343726251,0.06742832024906832,-0.004440878815702586,0.057373621149655885,-0.02590848771814308,-0.022336068098268214,0.0035499275053146873,0.09424158972329572
"Is inventive, finds clever ways to do things.",-0.01713263560498509,-0.07270981016949532,0.002050158164472462,0.024191153993061182,0.0602289317239495,0.06297197964680687,0.01614907946059754,0.12835676137080557,0.0432775045198244,0.20381943038665,-0.010334732493410392,0.09082839977544775,0.08384893347039192,0.021565778881185806
Is less active than other people.,-0.026210123175215278,0.2899096095199302,-0.15508452998783354,0.09392427512168763,-0.10366699870352637,-0.2748015048343735,0.4182290040428517,-0.096253107795653,0.09771306709594424,-0.028564606629618936,-0.2357476242911723,0.18464131067227424,0.039008056181736764,-0.003214100256291895
"Is moody, has up and down mood swings.",0.2709130082364293,-0.00746839580716534,-0.10699872986057503,-0.07806659951449936,-0.01666216665605115,0.15005504112524165,0.06267021502612515,0.09251907010880688,0.19443042053740958,-0.08239227748077417,-0.005331124920265662,0.014087400925724601,-0.031119738371311934,-0.04878348743195075
"Is original, comes up with new ideas.",0.011882209243331937,-0.08374172112892057,0.0680695213791711,0.009936941212295686,0.03923836570738112,-0.07301459552346098,-0.041532320077591056,0.1433632154509808,-0.003635534477629631,0.09731024589613474,0.040329574969003676,0.018029346866619826,-0.06327709013222887,0.16645699012332715
"Is outgoing, sociable.",0.06915301813409995,0.04969710711686948,0.1108847769048908,-0.08070961903950506,0.3224774118692069,0.11247169843629833,0.23104693011261968,0.3063411721402438,-0.015005415187983174,0.01766559907200945,0.018832910509737216,-0.2811185176841391,0.0145718567208339,-0.02593478117587689
"Is persistent, works until the task is finished.",-0.05371241477756081,-0.01769066829015485,-0.07093711858175467,0.03154097570325938,0.01367051684796823,0.01238657998794548,-0.03635193013480153,0.0613096253144139,0.08987934754941088,0.0591237131970229,0.03487296762816748,0.13162314854469284,-0.06899074207913528,-0.03838088934446143
"Is polite, courteous to others.",-0.10134947639816727,-0.029977537955658894,-0.14489580669854812,0.1275034932502439,-0.06835382651335498,0.07330713757926564,-0.04851782005353852,-0.0422288262783295,0.003827005877541199,0.10184094742653524,0.028891123101175975,-0.08933369064778808,-0.2667045791832109,0.06297479050394016
"Is relaxed, handles stress well.",-0.12891234898208634,0.0783882213300184,-0.05196743470790328,0.1264779345610227,0.14370440721290414,0.1205002868461742,-0.003447316807244651,-0.05608981817774056,0.010708500976129198,-0.05975944359600801,0.05983063093495988,-0.06689357487970349,-0.16221122043291372,0.09056652419184842
"Is reliable, can always be counted on.",-0.0038072020048458034,-0.03731504001069704,0.013465320346031444,0.0029063948578910478,-0.0033078671710528567,0.031902774050914115,-0.06841698828238706,0.16152878164395085,0.14807811720143046,0.06864724284298948,0.05963864017176675,0.08759855048137434,-0.04327930057003525,0.09217494958677164
"Is respectful, treats others with respect.",-0.0604200546469815,-0.036718312299794706,-0.09275377167799193,0.0488124204163328,0.01903659663811408,0.10810235382551,-0.10752215777295317,0.014304216700396551,0.1047167218172923,0.06121707508756029,0.022916782964433252,0.008181422989956416,-0.017620161653539627,-0.02014030893312165
Is sometimes rude to others.,0.04533424060534683,0.11824313143777217,0.0015900694195875333,-0.04724335143273007,0.1814726482214329,-0.06759811921377085,-0.15578470337268024,-0.11794629592130157,-0.15376975622711941,-0.18624791969212592,0.020063027721813505,0.01222052890879341,0.2045266972576541,0.02785220943303896
"Is sometimes shy, introverted.",0.04370650152980861,0.07920442250794955,-0.18342351892267952,-0.13397223339761538,-0.22956638435258034,0.13351021510205463,0.09218399702800323,-0.04246112115312818,-0.21239781232632024,0.23360656073317307,-0.13289460554378385,0.10694817868951179,-0.005467787928266535,0.07910861379563223
Is suspicious of others’ intentions.,0.067136586779839,0.020165920917618978,-0.1311328466145334,-0.08096823241084078,-0.09351470431293184,0.008920925782898426,-0.1051978934935902,0.15845051726511214,-0.14289960867534404,0.09977713665546495,0.006588716807008621,0.3383278690040976,-0.013346415090964778,0.06679825454445285
"Is systematic, likes to keep things in order.",-0.07193652130027145,-0.01164450895142973,-0.035128502983131776,-0.014966025527857573,0.055474992116666316,-0.029500613314688243,-0.22205390944146747,0.20611342720520523,0.19342303531450014,0.0005160418571279827,0.011905943179771283,0.1705572922430891,-0.048120115297404426,-0.013117332157640193
Is talkative.,-0.05100926070422399,0.02301086418869706,-0.020005529521712726,0.1993457461823376,0.23650574084286222,0.08787620211486427,-0.014456834442221369,0.01995380451394781,0.018662124164831328,0.044665206738936446,-0.2138991718790922,0.04377601670342368,0.0443614466059362,0.13311690740870366
"Is temperamental, gets emotional easily.",0.18793027165880927,0.038710798911351145,-0.03998355242244185,-0.09341328362568235,0.005371892418682388,-0.18505586706299126,0.04540669765250182,0.030715738879303237,-0.056995750694903057,0.07397247320579546,0.0315461351970082,0.009545159077412515,0.08682784032145918,0.2204515604011436
Keeps their emotions under control.,-0.10454184992046138,0.054338872306931255,-0.306384284002718,0.17300751303070047,0.16298053151067943,0.002747884189063461,-0.11505142022053731,-0.30609268876163365,-0.07562650984687665,0.08176783605713273,-0.28922884924401715,-0.0510250057157299,-0.05117355798757356,-0.12340518590306732
Keeps things neat and tidy.,-0.06830955800051743,0.005860935202469726,-0.09587662057310722,0.030618284874873593,0.1666757980207978,0.029539785664552884,-0.12795921066637034,0.03891893376633988,-0.01055141888425981,0.055951749214054346,-0.21903704579189132,0.13880926116315345,-0.04558298532274632,0.09683472980490274
"Leaves a mess, doesn’t clean up.",0.14833316937720645,0.07921201377011414,-0.11950493706271204,-0.03882026462396578,-0.1410671034413615,-0.18858612735431318,-0.0060385651203762256,0.02194169647103972,-0.1435269565900896,-0.048771126126520084,-0.08060252334195686,0.15881505332195306,-0.14852416523953138,0.09754845887724223
Often feels sad.,0.21505390288450155,-0.02031445426308409,-0.0682268944929994,-0.1714485942072351,0.00999422973199573,-0.18669057096660616,-0.012975884306360493,-0.01138954202112769,0.16942188377647568,0.13236576533794797,-0.06149438673399838,0.0002257652026509266,0.08129980300751669,0.13454398774228857
Prefers to have others take charge.,-0.05669041279687441,0.20836615387051627,-0.35623051930666283,-0.09587815267377695,-0.13640737739195877,0.17760969093397086,-0.23712159792525042,0.20351883763730544,-0.015557077876677296,-0.1626179807650897,-0.009924284631216519,-0.14461906003891425,0.302468474000554,-0.03848982168601977
Rarely feels anxious or afraid.,-0.18298910915804403,0.2981097524330392,-0.030531576431247247,-0.02137930678231833,0.1377430223589544,0.05285811691313818,0.21130809286176838,0.4027897807486845,-0.11524685402396381,-0.20759397086462908,-0.027796026995923963,0.09507279719044345,0.24331258244765133,-0.14856275228159732
Rarely feels excited or eager.,-0.10990207993946133,0.5325943788244208,-0.00024315824888884445,-0.19124290022464385,-0.212207483209173,-0.034929056504937266,-0.09030944229819095,-0.0016265504699557514,-0.006469972716153628,0.39124795236469,0.013261397527075738,-0.28577610780107365,-0.047682990691525845,-0.07252071156938639
Shows a lot of enthusiasm.,0.019290227130908777,-0.01421761322700511,-0.11957187316246178,-0.01503445386846958,0.08959375696971263,0.00125821293861645,0.08531584531246161,-0.05173311418403758,-0.14772858436266148,-0.0036458767510381476,0.06464097949538743,-0.10999484777344468,0.021408575826751874,0.044810733916287766
Sometimes behaves irresponsibly.,0.05348548782017257,0.23087290654173045,-0.08244912744334312,0.045427817096656636,0.014708354359442627,-0.16567339634584116,-0.07866624007174784,0.08597100004009578,-0.1557845483888006,-0.2858987353149823,0.41067114548614536,0.12728789310508842,-0.22665592072975912,0.09863723322114656
Starts arguments with others.,0.12215561487510221,0.03937172940869066,0.028177595141432654,0.09649410649907758,0.019403072823650367,-0.17307805682098734,-0.012391590582686145,0.07694974684853752,-0.12609623585461818,-0.001968589917472199,0.026460370333871688,0.01463586854851747,0.2738063751144651,0.18080083413196837
Stays optimistic after experiencing a setback.,-0.02321627476917821,0.015570192114696606,-0.14718163521538885,-0.04151067599225381,0.13936212072235815,-0.03653046901756236,-0.015635367315923566,-0.06690242537957958,0.04352279427746813,0.10018437437075653,0.03913798419089122,0.05499541264414146,-0.02788868105449943,0.05846267175006165
Tends to be disorganized.,0.21224384990178993,0.05700058748441959,0.011617208767462202,0.024823008741879708,-0.10395708381712222,0.16279080266970192,0.009804182536634903,-0.03400227950146762,-0.031082480860563484,-0.13605022961236318,-0.12689711439399476,0.13625356339942207,-0.12975068481187355,-0.049782519342814704
Tends to be lazy.,0.17460977530354516,0.012244038016036263,-0.1325372708939595,-0.14486708339691096,-0.09641963036419769,-0.06436538105337312,-0.025862708750661465,-0.010837361503261141,0.21716366657459235,-0.19939177508961403,0.05598579650653188,-0.009210931923534012,-0.06060950220733488,-0.12728982211059267
Tends to be quiet.,-0.12562393979796643,0.08566520869168476,0.25086682330305576,0.14274659366925116,-0.18001442771509865,0.25189081069943875,-0.08350817195165747,0.04383167892272817,0.1246600357414267,-0.1517711151267245,-0.17895586852342762,-0.16077201673756614,0.10083953511348066,0.33972474453713514
"Tends to feel depressed, blue.",0.23837524267612373,0.02721466963946386,0.030444741691874173,-0.21473543256905622,0.017338484517373815,0.06374210573537117,0.056640723235332494,0.048177050776640286,0.32670773930014896,-0.01245324049527461,-0.10078173367691114,-0.041668366729945255,0.03321343636164813,-0.004408248537239136
Tends to find fault with others.,0.11295154585883886,0.05245208551207957,-0.03397631354878589,0.0034023510902770728,0.026344753316512252,0.09329972372336275,-0.02435854504480164,0.05801084005856478,-0.03669775504189083,-0.039042690475572454,0.00937514506294622,-0.03750750041303928,-0.09191670707911587,-0.06674138378103317
Thinks poetry and plays are boring.,0.17138724488863905,-0.0029794062802578603,-0.017431672232807886,0.2288368194265382,-0.1286991132782626,0.072605963892253,0.03209587735667597,0.2805289336854556,-0.16256061586337478,-0.03079796353553933,-0.10293901928550378,-0.08227766591964802,-0.17541036065460613,0.12401433838870765
Values art and beauty.,-0.03511987601481598,0.007746468511603611,-0.12950338440507322,-0.053990632757697644,0.052990144147878525,-0.17837278489054811,-0.12777614500555673,-0.049053735116722015,0.10437091340542479,-0.10917806219091544,0.08561327768928657,-0.1048372351691291,0.010451831644802727,0.04850306042118788
Worries a lot.,0.1849724671968774,-0.052427045492239185,-0.2026373173991076,-0.18650217517664858,0.04693019696040611,0.033139210886581075,-0.14028427641982796,0.11613463487112971,-0.13403966009998633,0.011482937072939148,0.046257749205356226,-0.13797414397277913,-0.11025611402404409,0.10443676175398203
