,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
I have been able to build a home and a lifestyle for myself that is much to my liking.,0.2365646915382153,0.04354827828339081,0.029346503269406823,0.09193975004651492,0.11338413952145511,0.15809091870812042,0.03375645768293112,-0.07873434247931459
"I have confidence in my opinions, even if they are contrary to the general consensus.",0.27710434643526566,-0.04551214762758913,-0.036695786954887566,0.10732085706867309,0.07719976969614432,0.029883442744020036,-0.0886572591423461,-0.2535198096890186
I have difficulty arranging my life in a way that is satisfying to me.,0.07220574491660237,0.1426026389526072,-0.07577558800777262,-0.11366089914819766,-0.010959701424460594,-0.22270070218944932,-0.16000256292886805,-0.005128061305752183
I have not experienced many warm and trusting relationships with others.,-0.20231895456574672,0.3506650298452575,0.1325236401188821,0.05637797014849791,0.32433444782718845,0.019916752475352274,0.1514534668389361,0.2118296762126393
I have the sense that I have developed a lot as a person over time.,0.19736985887943248,-0.08128590417454402,0.26381575594283285,-0.25057784443294834,-0.264280894548804,0.21683500600811778,0.04181327616198868,0.00882239137320834
"I judge myself by what I think is important, not by the values of what others think is important.",0.2291985250061922,0.11597747546905325,-0.1753769124471105,-0.29457697603707284,0.032188671272753544,0.321481795028406,0.16268565509539698,0.1277730912544943
"I know that I can trust my friends, and they know they can trust me.",0.22869298576952274,0.06622434781673595,0.15962227411426128,0.3175155116864891,-0.14681859934995123,-0.020692046134913787,-0.07220099482121445,0.006967371206301236
I like most aspects of my personality.,0.05810597976171125,-0.13069770220722904,0.1409653400414804,0.0537958303335736,0.260726889530695,0.06300262142411449,-0.09407423574899947,-0.2305089037933028
I live life one day at a time and don't really think about the future.,-0.2407896669632455,0.28042461592527573,0.13602194782812616,0.1695913408449296,0.03169124345481299,0.2867416808114896,0.094262336724476,-0.09321521600047439
I often feel lonely because I have few close friends with whom to share my concerns.,0.07834812369484206,0.15517225149825226,0.05453884143054605,-0.2674359016317439,0.08483606854863099,-0.13770376905918236,0.24557192022104776,-0.09784765512495207
I often feel overwhelmed by my responsibilities,0.1739078729335018,0.22940209227150044,-0.007078012791724451,-0.035224894953542835,0.052235241980777274,-0.07369242043565434,-0.03028092448822892,0.03080738227328053
I sometimes feel as if I've done all there is to do in life.,0.11419108375960824,0.2670721607962003,-0.04443202726389157,0.04841422183044501,0.06838335086237747,0.06916866125238554,0.08838060506167025,-0.09579650804294654
I tend to be influenced by people with strong opinions.,0.06898883165018135,0.16404573535512013,0.049391138628181994,0.2916835654021089,-0.2616382797538857,-0.0009794231017923836,-0.01334616069242365,0.15029270774613163
I tend to worry about what other people think of me.,0.2159382359097456,0.10354554688809849,0.11036389540231699,0.12400512659098378,0.03643583881119369,-0.27389383994560634,0.1813333475762311,-0.005804278432665947
I think it is important to have new experiences that challenge how you think about yourself and the world.,0.05647254194736415,-0.060415431340943876,0.1542256176370392,-0.08937344302850658,0.06914482726072191,0.04579462087362126,-0.08512496775813773,-0.05046669582509412
"In general, I feel I am in charge of the situation in which I live.",0.2697567774319615,0.12709424000779249,-0.22965671713702396,-0.018258029085349934,0.05176675275967766,-0.09651631924549935,-0.06265283088127052,0.08179658377746167
"In general, I feel confident and positive about myself.",0.02632388023675928,-0.09845608981010291,0.13310145505911283,-0.08519732885631093,-0.09870263085457164,-0.07539703090957472,-0.04432026793755268,0.16425478869431528
"In many ways, I feel disappointed about my achievements in life.",0.18002096277135338,0.12713130976659376,0.11931298496871742,0.07871857933321115,0.00018265006863574668,-0.07021153278888352,-0.004782365508820159,-0.004242084377648005
It's difficult for me to voice my own opinions on controversial matters.,-0.09664039383434958,0.028253281283146744,0.2494075183038753,-0.18689723000558253,-0.024136709355384988,-0.2652949781065873,0.15999934408948455,0.044122929848819645
Maintaining close relationships has been difficult and frustrating for me.,0.07916166338395249,0.016492440329846727,0.03039346334520485,-0.002949523917882028,-0.2792746911002469,-0.3148892127876041,0.38707028140315497,-0.1363726925739285
Most people see me as loving and affectionate.,0.09965429489230695,0.009448418281123602,0.08171819467646196,-0.13071890412784382,-0.15750095185810328,0.08980049365090792,0.09519552205490095,-0.10799404227347295
My attitude about myself is probably not as positive as most people feel about themselves.,-0.09124006652777907,0.019105142194291897,0.2524446113960315,0.06777298260560782,-0.09114833531590683,0.12298515535630711,0.1966048664037206,0.03711545517090614
My daily activities often seem trivial and unimportant to me.,0.04290657491461843,0.24340788139930455,-0.09010433460717178,-0.018785269692838107,-0.04519082877024838,-0.15639705183683514,0.07560779946001729,-0.07978154458684882
My decisions are not usually influenced by what everyone else is doing.,0.1188517065139994,0.251724042235373,-0.022586901184980572,-0.27476877868584315,-0.008919257440279802,-0.02779809091642459,-0.1658703380516222,0.4065982967297871
"People would describe me as a giving person, willing to share my time with others.",-0.0481856764565685,-0.010384074692153923,0.23932846018837686,0.012108832804026633,0.11188051564156745,-0.19412285529543688,-0.15473272851172293,0.08312771813383045
"Some people wander aimlessly through life, but I am not one of them",-0.04642251491711994,-0.012383452489548271,0.38067605887675815,-0.16033217627208152,0.09953112000640273,-0.13318132342120156,-0.29293181094033693,0.08079239886047673
The demands of everyday life often get me down.,0.11234458843854951,0.10555944446131323,-0.044521202512423454,-0.15534974311620253,0.04061705827734653,-0.056830943388525415,0.1063991383090612,-0.21412384104963667
"When I compare myself to friends and acquaintances, it makes me feel good about who I am.",0.2237161829976233,0.05860101461264808,0.19632914768551643,-0.006974333979512933,-0.02682032095408456,-0.11934517005129294,-0.0683717087766326,0.20842429160577772
"When I look at the story of my life, I am pleased with how things have turned out.",0.008464744129680575,-0.035708915454042534,0.26018680590545673,-0.0675549178277989,0.19078284703625042,-0.10932139406478486,-0.05913438525617632,-0.11923390141852669
"When I think about it, I haven't really improved much as a person over the years.",-0.071603216579005,0.3084641448917334,-0.08494993889896754,0.12869870978792258,-0.029692615401267854,-0.20330468006831867,-0.1963365215895162,-0.24376746596751486
