,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
"Is complex, a deep thinker.",-0.10222833224168584,-0.13800529181954477,-0.08158507589341266,-0.04035147220848902,-0.21057185168503983,0.08357748045826977,0.02043043593469279,0.21672112263889332,0.17645966543338473,0.09756798948146622,-0.051677581955027724
Is curious about many different things.,-0.1098193766558159,-0.05821329414509376,-0.08468614814003955,-0.004349566571034205,-0.06476336586953034,0.07340721946324,0.11233539950162498,0.12619245871432921,0.0015644093490835322,0.11893289069932117,-0.08613600195586316
"Is dependable, steady.",-0.05823975786030796,-0.13198715763231772,-0.004906049833744438,-0.05736488480861535,-0.09122817837514502,-0.015330087068391125,0.061391077406942385,-0.003905475450623891,0.18584330949192743,0.06596463654923161,0.1545448887002605
"Is dominant, acts as a leader.",0.03892944878568838,-0.21045701735517708,-0.1960767687349874,-0.009968546638100631,0.17979347381480867,0.005631671238941337,0.15609328048048002,-0.0003793798225854503,-0.08582520192134785,-0.23833610654746218,-0.0033680250753085755
"Is efficient, gets things done.",-0.10280824155302325,-0.03388516889122424,0.015190855869074538,-0.059422832939803966,-0.1552307630422823,-0.007398230976861028,0.06533258001248377,0.047074778986252855,0.094893209628523,0.23020641170897158,-0.07926783655637025
"Is emotionally stable, not easily upset.",-0.05551042843786297,-0.01580095346216566,-0.11616406157953847,0.14285904208224295,-0.005396557503403546,-0.007865249017369853,0.11043941223820206,-0.17844508531664305,0.10347283727006232,-0.06053551564266013,0.14688762721661666
"Is fascinated by art, music, or literature.",-0.012390507103153595,-0.1353480265600404,-0.12475877391996892,-0.13389756631451646,0.05638827892950569,0.0017101915605705759,0.04842920231920704,0.10350538573005352,-0.027086836795425312,0.1339421285600878,0.0219972950727726
Is full of energy.,0.008483037822384317,-0.19942416446145927,-0.2042739374484843,0.03776419237526788,0.022507991769945623,-0.23400734543904422,-0.26490036157790753,-0.0959469464442317,-0.1315235361656496,0.08220205986148248,-0.033745668478299025
Is helpful and unselfish with others.,-0.07704220747803801,-0.07953470777785547,-0.06814798776456245,0.034299640844899955,-0.015181670193937782,-0.005437733283033942,-0.0786842329277453,-0.06369395348628847,0.0035538521124274386,0.02953303124478805,-0.01899708907993744
"Is inventive, finds clever ways to do things.",-0.060295012846968275,-0.0786096326708349,-0.10224159901731213,0.016859048651264825,-0.05730653752570114,0.15787810401454902,0.0844925386080882,0.010371054636914123,0.05554724670662465,-0.026883021328132778,-0.04621194141339244
Is less active than other people.,0.010769282876903867,0.15458597589757694,-0.1803643412013982,-0.12277876602705173,-0.11385854883714909,0.11754704104582227,-0.13441153069722403,-0.21237284549230745,-0.21079871948785753,-0.02930819881992637,-0.15922380161283067
"Is moody, has up and down mood swings.",0.23869823629031844,-0.10491796506016131,0.0024885808800775345,-0.04660822135105497,-0.13218588287292152,-0.10774403340303182,-0.13317514392334492,0.03485829886306954,0.25480129160509446,-0.008899212669165199,-0.24037825194650042
"Is original, comes up with new ideas.",-0.032069849561977344,-0.12240639232863161,-0.09546816911625328,-0.013870756862031538,-0.010374021852538943,-0.024147197636853242,0.13489787829320685,-0.0833309717991752,0.1113697347630306,0.012086707777542033,-0.009413836253717153
"Is outgoing, sociable.",0.025519040354808453,-0.258819550471262,-0.09158927066275745,0.10948020019305914,-0.05404002575272671,-0.08499108290966222,0.09255187791004688,-0.06458379847254087,0.0246920013626142,0.05498980128552022,0.050233107381212935
"Is persistent, works until the task is finished.",-0.08528938995772926,-0.06341831474040821,-0.12847887071437825,0.002353375974263758,-0.03665164165050434,0.1791937887801057,0.07504229375202108,0.165813828392447,-0.06418152769855257,0.009353496975813658,-0.07487329273377666
"Is polite, courteous to others.",-0.06398715032387332,-0.03503773414548296,-0.0224548249072507,0.010334598034193608,0.054155039981692146,0.04514476928386371,-0.11544746446672864,-0.09781833684533682,-0.12348250995444113,0.3008090619324676,0.12851996454131773
"Is relaxed, handles stress well.",-0.05410778658199918,-0.13317845830520528,-0.15043259849759913,0.07750105264596638,-0.01907970836176369,-0.019082499584675075,-0.11246912626083864,-0.05017869407062461,0.058374441613971095,-0.029209102660921665,0.026124998832299046
"Is reliable, can always be counted on.",-0.07026051390500428,-0.08529889316802984,-0.027462562193106978,-0.04688361530935502,-0.020195931557269505,0.12248798819156587,0.07802174169967034,0.051353822265403436,-0.12997577583921388,0.08869481101846238,-0.06446171467803889
"Is respectful, treats others with respect.",-0.08459163186131345,-0.019341195417266227,0.08326491108179838,-0.022394593253597946,-0.026239468314358267,0.00790288760238163,-0.008252283545602004,-0.004787745629428049,-0.04505878709593317,0.13955213911386552,0.06575412373554677
Is sometimes rude to others.,0.15937084297641282,-0.008904560861039752,-0.1302963389303719,0.03387101157269648,-0.18943102032063663,-0.03741176340364828,0.15743636440715675,0.04146649708555222,0.03373032843776168,0.1532112004872237,0.03301639724910366
"Is sometimes shy, introverted.",0.03128752295034153,0.11406509491212752,0.04011354404446961,-0.3789355759491689,-0.21591311601937607,-0.022428945818056337,-0.09768155698270473,-0.09137715258904579,-0.040566757187400715,-0.2566355401042444,0.05058216750678028
Is suspicious of others’ intentions.,0.11521467085721294,0.006835743554144826,-0.14845151157683667,-0.027323873365089898,0.0862318929256864,0.28943165426218764,-0.1478523645224811,-0.01324541487085934,0.013258518953997558,0.2259654604680612,-0.14438805426342893
"Is systematic, likes to keep things in order.",-0.09255501632949142,-0.06200414123453893,-0.06550222189850348,-0.010954523270690719,-0.13696727669702183,0.060779135120788016,0.039554792176014215,0.09086274149936593,0.04948004078507654,-0.09076663375521589,0.01581454081865656
Is talkative.,-0.03871852433509592,-0.11213910486925106,-0.2744626111341125,0.15459211062768516,0.0030928539820678468,-0.025093961464264295,-0.005177314786831709,0.035595362406154615,-0.035683263244403546,-0.09040994772871419,0.08721060880278801
"Is temperamental, gets emotional easily.",0.23056423125505981,-0.07562085297637673,0.046740258491696524,0.08251127068910764,-0.1140251802182832,-0.1912519031891247,0.028582102704687834,0.08720192419702794,-0.15512966564328132,-0.17532617941267226,-0.08086305799449993
Keeps their emotions under control.,-0.012393783583939291,-0.08370502270445523,-0.16347123773057626,-0.16971753606826162,-0.05760688501001356,0.3496245054242342,0.09117533531477945,0.08479800518360685,0.2049949505849078,-0.2621836602728173,0.05426274516208052
Keeps things neat and tidy.,-0.03447017532070015,-0.14435386831743868,-0.16650208176342596,0.06875630548764637,-0.12348714122453186,-0.047790752734445295,-0.07695598362113908,0.08068506283016386,-0.15875508756155343,-0.03556538737211935,0.1054406354238894
"Leaves a mess, doesn’t clean up.",0.20943449536038186,0.0578471692252134,-0.047341958786349614,0.1942382712462736,-0.20273101565913276,0.12497942596848828,0.18261075801370832,-0.2608347576535052,-0.00433082286299577,-0.11520267758624894,-0.011083990113282802
Often feels sad.,0.20617446338386433,-0.04655351786439423,-0.013386947768703257,-0.08035840067007674,0.03645557171246173,0.16587349747927257,0.1819210315444166,-0.06468469135878113,-0.15045587461390975,0.2807462952593982,-0.10845220139972958
Prefers to have others take charge.,-0.0005821753492920279,0.14922175374945265,-0.24868534283396468,-0.27175180033794727,-0.22203840801556463,-0.09443356164738831,-0.14952996216475012,0.013846399545185253,-0.14770329298943627,0.17271735359161838,0.14690909214746498
Rarely feels anxious or afraid.,-0.1504795079188316,0.09376210166391588,-0.3032825366973419,0.08324475892011954,0.09557834596898439,-0.02959099403754878,0.044775117099613945,-0.29489758264556243,-0.04679823659896162,0.13126235483538098,-0.30884652798476564
Rarely feels excited or eager.,-0.04052012696834796,0.3892422194044624,-0.2729234108279956,-0.015024236224085366,0.08387135128551403,-0.31782386460445666,0.20951719321652992,0.2951208912723269,-0.055562728010452304,0.2157420682456467,0.2069605917557942
Shows a lot of enthusiasm.,-0.0026717523265248054,-0.10245324221173462,-0.09158125965035353,-0.019339139607824473,0.03725032375086311,-0.09572258128105937,-0.1296612335531097,-0.15389196177164305,0.1350139945326289,0.019529331258490427,0.0328645050912848
Sometimes behaves irresponsibly.,0.2273238577403334,0.015916688549500204,-0.15501979080459452,-0.12611542453322053,0.2346246951193389,-0.0006823590176903566,0.05056158061743711,0.09203156382683424,-0.12405625205525865,0.09687063270814303,0.1572165133862846
Starts arguments with others.,0.18519164097047744,0.006506590289982767,-0.014000085772553003,0.08266526985942707,-0.10480803163884805,-0.140977475845389,0.1500129932264412,-0.06718837375374331,-0.011822000162784868,0.05759559036243879,0.16460355363284784
Stays optimistic after experiencing a setback.,-0.0014144129682844995,-0.10860027980248835,-0.018224905716706163,0.012302206286552935,-0.00036408461964372563,-0.12579738432868198,-0.08099892152178637,-0.22834583918462398,0.0340574710382731,0.06921040527001693,0.0975636764061131
Tends to be disorganized.,0.19962260827602923,0.03012696447806413,-0.0013416568112475903,-0.04855598528111565,-0.03574285436868089,-0.15036379484550144,-0.04875012511910158,-0.0622506084534237,0.03882662350662726,-0.014921082614201074,-0.09233513285375433
Tends to be lazy.,0.18761318621760664,-0.05766203867489363,0.017571700889969163,-0.08257412469586944,-0.09715347605377449,0.03384766194128797,0.08753902918990358,-0.17249560226685773,0.31856021095355397,0.2408359795774881,0.05478805339008575
Tends to be quiet.,0.06580593092316293,-0.034266131711232245,-0.20665975151939142,-0.25010554595443923,-0.23742338166013321,0.2564585532700344,-0.21356014964095665,-0.006619697693044754,-0.08708693301682235,-0.08884986993220392,0.30867505838198744
"Tends to feel depressed, blue.",0.21100813556900097,-0.09364284808581291,0.07563280962444398,-0.152326754772301,0.06623696594428283,0.11485078995691594,0.2563886418058234,-0.2217285426666338,-0.26973925660340836,-0.01681099385470601,0.004202933450995802
Tends to find fault with others.,0.11957267847877168,0.1218706370289069,-0.07392714219455285,-0.04961644237820977,0.1873906205127552,0.1481017588858632,0.23629780503416153,-0.1417160218199603,0.2759237608834797,0.024647652127801623,0.11133862386321523
Thinks poetry and plays are boring.,0.17056387940944978,0.11215139458149544,-0.022304927431822497,-0.007509879002878866,0.32978385570155194,0.23261051940347127,-0.13986957490625693,-0.05206858690040966,0.14741199997977986,0.0320399075459903,0.30038834867048264
Values art and beauty.,0.0049288927510348635,-0.1736290675329781,-0.01766601730601327,-0.016644033525277095,-0.10974576546778314,-0.0924633296950722,0.12897756362167218,0.05658593735835163,0.11731504101721449,0.0020480102151102866,-0.011566938530641599
Worries a lot.,0.2357306370776565,-0.3123688200636718,0.1133045325330377,-0.16842587253005778,0.07261875685737439,-0.056780217165225536,0.05357915195122269,0.3210148406391838,-0.08967559526970664,0.016976483356220526,-0.027185178482085223
