,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
I often feel overwhelmed by my responsibilities,0.35994083280483613,-0.040661636650660665,-0.03647001151023516,0.10241809726170892,-0.040018623088967885,-0.009871088321646,-0.05751958888079554,0.1866973380567745,-0.01824106270545034,0.029734139273169966,0.04898115323073866,-0.187978972160178
I sometimes feel as if I've done all there is to do in life.,0.16440321865730254,0.16410260291576131,0.05685047028904828,-0.13753841292769706,-0.2928741746593597,-0.19673017082729044,-0.18662520302496108,-0.19677839355896545,-0.19875570581768862,-0.007235467251423908,0.24194193027027294,0.03624357681878955
I tend to be influenced by people with strong opinions.,0.22385709633910766,0.08908669237089142,0.11243236690629879,-0.15654135143292477,-0.14505279457459658,0.11826347103638385,0.10702580670081889,0.21514151594980102,-0.14614466450976013,0.28686335343818964,0.18022897813678712,0.27671103510215556
I tend to worry about what other people think of me.,0.128785755691733,-0.210872108355664,-0.01581399658118047,0.18653791451120239,-0.16629953404944484,0.1547851242238027,-0.3445758091665909,-0.019853364426795857,0.07774385188808307,0.19347796675739673,-0.04683364642056692,-0.000866400143240897
I think it is important to have new experiences that challenge how you think about yourself and the world.,0.1545656924926887,-0.024650276726689818,0.018632858240931652,-0.015592157530791503,0.2033900686015688,-0.15318877069018091,-0.064951459961529,0.024669203567256562,0.12629467321331975,0.007748302742854445,0.004145986099730648,0.11498941581898361
"In general, I feel I am in charge of the situation in which I live.",-0.04997483326852991,-0.20150601253501155,0.11950627460371525,0.03301875074075971,0.1017427633430564,0.06589840154085923,-0.028153259316500468,-0.07825401858397887,0.32485967660745385,0.2815978127591489,-0.038509064582254754,0.32539370190516725
"In general, I feel confident and positive about myself.",0.013484376928185797,-0.08906207261206835,0.17800642738245465,0.02218666637818717,0.07451118229930309,-0.07451143765103989,-0.006492937494794237,-0.05880714867113004,-0.054889219349936506,0.09781387334163828,0.0751054767082769,0.06992279631178369
"In many ways, I feel disappointed about my achievements in life.",0.24066208628897598,0.20189924938173096,0.01719335544360605,0.10680521875195548,-0.08210444470788124,-0.08652858540182437,0.17333935008795748,-0.14495822439103892,0.05872331821014058,0.009416384324643756,-0.23134752059767352,-0.06111493284595095
It's difficult for me to voice my own opinions on controversial matters.,0.1424645673844151,0.024336642554570846,-0.1764939058167154,-0.008700841707559238,-0.1867426993816925,0.24305269264554005,-0.028532254237065166,0.27679880875719975,-0.09552869855372963,-0.03932946993236612,0.029073106743242406,-0.03870563238451922
Maintaining close relationships has been difficult and frustrating for me.,0.12997565059294386,0.16632803473222885,0.02493007095245421,0.2003544161452004,0.1462339051652925,0.06812337948246619,-0.10771616829916543,-0.14985846062958458,0.009799997221464648,-0.14621842647045866,0.41065397054388536,0.10611608706150534
Most people see me as loving and affectionate.,0.11544289274935388,-0.09741591622852701,0.12661495028971545,-0.01727390602991958,0.07117563221596862,0.1097120587671666,0.11765681905141104,0.04284890197355261,-0.08737372720136741,0.1416934302376025,0.023147641304713966,-0.11345054393713071
My attitude about myself is probably not as positive as most people feel about themselves.,-0.03225820036816777,0.2989754769148614,-0.11590751433923605,0.1644648870932775,0.266031252221998,0.09824079715881753,-0.12345432821849439,0.35421576044271935,0.1710226438424299,0.0783747071467067,0.031586282525376985,-0.3942737742134698
My daily activities often seem trivial and unimportant to me.,0.13996443120609878,0.19702987330093374,0.26324783981915373,0.01776585131191829,0.021260061081171334,-0.2588230195129054,-0.05764155547392434,-0.18120284120194563,0.0715059132239055,0.002298565445263599,0.09886359383285635,-0.21140493548380776
My decisions are not usually influenced by what everyone else is doing.,-0.13071137704969527,-0.2412623630006454,-0.08234730637944807,0.3844680925492806,-0.24708336016450583,-0.21128083554145685,0.37483280731116647,0.025410000720019726,-0.0381219102320552,0.35067251402324556,0.2181147898572868,-0.21339948393589991
"People would describe me as a giving person, willing to share my time with others.",0.17786472498130743,-0.0887904331379932,0.18237848583450936,-0.03246179028380138,0.24983372467200038,-0.006533821318274599,0.09075421296301309,-0.1285949704922061,0.07943774106577202,-0.03922576790972116,0.07943793076916092,-0.18532976669423415
"Some people wander aimlessly through life, but I am not one of them",0.27778853053595676,-0.14909948439419002,-0.0245122871123499,0.2557216060630016,-0.03753774737319946,-0.09235793856086473,0.20686448845148608,0.041097736030692514,-0.11492318243012321,-0.32032982956962885,0.1887431309417976,0.013969984184338428
The demands of everyday life often get me down.,0.32161804275254013,0.005667228291847587,-0.12573091025881808,-0.25749435229224443,0.07642394508915828,0.14677849502598908,0.12586736616812733,-0.10591845449962424,-0.0002389744852856607,0.16640098572963613,-0.027232322096858125,-0.09934581753036303
"When I compare myself to friends and acquaintances, it makes me feel good about who I am.",-0.01947389446494661,-0.0885824860436151,-0.059792359308011904,-0.34806270552273766,-0.22583400524740344,0.08407628721126563,-0.0715253122371501,-0.027946555616805133,0.3097411924744041,-0.0009865593278721675,0.48011068200721374,0.013017318809101721
"When I look at the story of my life, I am pleased with how things have turned out.",0.07490872724996003,-0.13780252924215122,0.1742973195991553,-0.2014664709866991,-0.02000816658998927,0.0015228527467267784,0.33764463793215393,0.1578168612965913,0.10063590757820134,-0.14072547614680314,-0.09509839163026775,-0.10348590958563557
"When I think about it, I haven't really improved much as a person over the years.",-0.12426345361352722,0.2049840851547988,0.02083352778948028,0.010733701541400511,0.05537770504284321,-0.06754392295709513,-0.03507733652308279,0.12136436111662272,0.08420316175862728,-0.015412683301484206,0.2824653398194179,-0.030072900017626542
