,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
I feel like crying when I see other people crying.,0.1429458532789703,0.08201047692071267,-0.17598438266839303,0.08135841808080849,0.06776178440352187,0.02571112513174224,0.05377925112367998,0.1035782696872121,-0.010741632041309224,0.06325405040555505,0.03346777248525132,0.04705907439402997,-0.03360454532597129,0.023237889440576084,0.07812860068342142,0.10136966468972226,-0.07210470842193457,0.11814701827410404,0.09379017508631886,-0.054395821738819176,0.2260816831405882,-0.013934291534473087,0.09162175898818975,-0.058045960342086735,0.34192153987529017,0.00583779577525383,0.01073701769636102,-0.060373690661591095,-0.09928275078835296,-0.0567251965553206,0.030936966171667354,0.11951588727857286,-0.016997422913642795,0.10397705141965748,-0.17055117965854108
I feel reasonably satisfied with myself overall.,0.02213505699389017,0.07321891699741695,-0.060998384418736736,0.03826935347017557,-0.04532438155252005,0.03255641952067601,-0.10516767720384708,-0.10133483920187125,-0.0453043380598668,0.036431140572105676,0.05644647036106769,-0.012976500509242815,-0.0575284162964577,-0.010444964132597486,-0.042376659813458534,0.06430291268348391,-0.04035378595279056,-0.018782593754185294,0.008596848848969862,-0.05730808384287021,0.025945169823548803,0.0987900912163769,0.05034503951515116,-0.02194099209269576,-0.10431800212382802,0.14793385738661866,0.07067324971989716,0.0643199909793236,0.1336121281923746,0.08152485191694907,-0.03657744662668992,0.0822222134226937,0.1423268919720153,-0.0361680257242208,-0.012987132460191385
I feel strong emotions when someone close to me is going away for a long time.,0.20015983138032586,0.04681283612554932,-0.04885431444755893,0.12983836962172024,-0.007029337015950361,-0.009056172872829078,-0.12911686750642926,0.011212475603321743,-0.0919581745909201,-0.0683255741080269,0.023114754728221883,-0.050549627628969675,0.06921002477010901,-0.07254402933940551,-0.048442974248527185,-0.15074341113630568,0.04438236783054277,0.09595547977631676,-0.16412509105392484,-0.010814715215911147,0.2142477355571204,0.1667872458100325,-0.08025341378740922,-0.05078692560490034,0.16624350768751164,-0.033297575023535614,0.09052670764105512,-0.01915352929271075,0.07295760245746397,0.04858856821444852,0.002780290287749629,0.09760952330348789,-0.050715194112212016,0.08241702144864921,-0.06240299153148623
I feel that I am an unpopular person.,0.12382002793378435,0.09095040825960077,0.027617501694698385,-0.000505637591199184,-0.16161549779859577,0.13036168896203632,0.03388712350093501,0.025039775745240533,0.11206825078026958,0.12204146587045865,0.12264439099144288,0.012745371101251946,0.0483422654584828,0.16732367639053133,0.07336894850267078,0.16983459947269508,0.07748982207254225,-0.07147844733533383,-0.051996095271282954,0.13371435905717913,-0.08074062481717104,-0.17621327271295834,0.011577417183197717,-0.0008683259287270212,-0.13665403365737513,0.005492709565575903,0.015182039487022608,-0.13748800343079212,-0.11548666933697144,0.17058608336869896,0.0462469337319806,-0.04832393051422214,0.12341792058411645,0.14849454221407912,-0.0065257263036364605
I find it boring to discuss philosophy.,0.13095129198928832,-0.05695967433148093,0.19435329121003997,-0.15873354435214765,-0.01710852000559205,-0.010745745282019692,0.015024924534426396,0.028867825223652728,0.009295283970831228,-0.09662352952278892,0.06623933532032011,0.03518692838457656,0.15807998749449123,0.14496436593797232,0.13089723006321027,0.04559886568025711,0.2074789348466812,-0.06273210151378279,-0.026368330725385334,0.15444407880539687,0.1384921750350661,0.003452632808372031,-0.07879923933884955,-0.00280486717233952,0.0022881293474806418,-0.020435318815856626,-0.023335720398362115,-0.03426518693113715,-0.041695317801367704,0.014176838616522166,-0.05785349653880608,-0.11475348131914724,-0.10437962291836443,-0.05575821264811635,0.14272295104329102
I find it hard to compromise with people when I really think I’m right.,0.14957022901150463,0.06490102089901058,0.125614011042616,-0.04520166961170048,-0.09137376625150335,-0.09402616366180824,0.004743170654876154,0.2669875935113691,-0.008513586563496663,-0.0730982690583049,-0.10803641026056025,0.14409793181066005,-0.256325170061347,0.06345681012210214,-0.09485247560061888,0.08507502976659781,-0.12454560085629875,-0.16463610032716278,-0.0879046781211105,-0.18598624770422995,0.17846240669833058,-0.023712134552265292,0.14074916325162276,0.12366787591919617,-0.19590735897812878,-0.04833539607322571,0.06153056732767394,0.002488823872081592,-0.12930509310596597,0.10947387483073474,-0.11777653631182512,0.0415407609619087,-0.037464059229739374,0.03766449305288307,0.16114655862511335
I find it hard to fully forgive someone who has done something mean to me.,0.10616307734325349,0.02785457271093044,-0.026436504005309492,0.11773330403924141,-0.10435578141009703,-0.012771330669078214,0.1605254743323873,0.33071282841640504,-0.012834812054773497,0.10516281059583117,-0.16737863856786808,-0.04160517751766277,0.01811297624379455,0.022683868847325924,0.07284690621734895,-0.12853536255131456,0.159465073523526,0.07087328910100658,-0.03664277671677201,0.033031940511026266,0.05225823864167419,-0.0836362201757928,0.1602875164569706,-0.04005454715212634,0.0049552257117058,-0.09166302275541705,0.015809145627962345,0.055072205567127254,-0.11836221428774923,-0.1405611310485788,0.12230189136674843,-0.005471183821406159,-0.022571298118300154,0.10935894596836335,0.10145881010789196
I find it hard to keep my temper when people insult me.,0.17328992490582804,0.027915333813507137,-0.03059167848262974,-0.06043863160044689,-0.05522992230031688,-0.04588506284158297,-0.011544417994254477,-0.1559134956954543,0.06208552340677173,-0.08012455989179808,0.01859743658414866,0.039634185910618146,0.06534241075894731,-0.15392656709920208,-0.031403200000665855,-0.02265681485725215,-0.003508817604907658,-0.013077861953804271,-0.012053922991625464,-0.00787570738394707,-0.0026310881193495556,-0.05666707329211084,0.13273301013297176,-0.08750920709364605,0.05749537736870965,0.09731967082003587,-0.09299442583237891,-0.07937489958556503,0.02355134167361737,-0.056118870050291654,0.03461002726469926,0.14716289121570963,0.028839199587797303,-0.01173757676925483,-0.09849787652365256
I generally accept people’s faults without complaining about them.,-0.06445138473745954,0.12987763733779423,-0.03557106031099744,0.04727955727261167,-0.035621745242083655,-0.010664767182744804,0.01387791880239602,0.07660128189621387,-0.04563956195070297,-0.06520984906244556,-0.017172202824358492,-0.05970829941525863,0.11340958868370318,-0.1305959773973394,-0.0010190158741796213,-0.0229641857411733,0.08210486638651919,0.05644463996460111,-0.017363920908801858,-0.056969320528157064,0.07968120909374758,-0.04859505929234627,-0.04457962995656329,-0.017889283617633506,-0.03304251956031356,-0.02931730514855805,-0.04868741332106093,0.0017029367426157405,0.054955844930184815,0.02778855131901606,-0.0670008731172925,0.056283466689159484,0.048955416770538114,0.08048209947646635,0.10303764357234699
I get very anxious when waiting to hear about an important decision.,0.17492321062900884,0.08308400325054156,-0.04004765281321485,0.029802458754818895,0.00803725671345171,0.07236537287774371,-0.0017345885804775283,-0.03152350871155033,0.009521379124103368,-0.00827151640567173,0.07737859551730532,-0.16766841930785015,-0.04125287965458631,-0.09595352287548481,0.13627343326355623,0.0678785936813134,-0.040955777182893664,-0.03397808003769945,-0.11638501780816454,-0.014291788054920969,-0.04633386180275128,0.09784096762291343,-0.025604003502744572,-0.0514687787202388,-0.07086496337782078,-0.07635140445584537,-0.056729487856032455,0.18752746934302397,-0.06536225799571982,0.07135280642373043,-0.14774343826126163,-0.24457418325658087,-0.10304196252821943,0.058479949623660106,0.018746032848570723
I have sympathy for people who are less fortunate than I am.,0.03618980483402155,0.1223837531274572,-0.11648045446759728,0.07716407619577878,-0.054966098182608815,0.03916156194350881,-0.15640202090974345,-0.025827564555746484,0.07694324558737692,0.04122955764810016,-0.06664256709294927,-0.044551612785816694,0.10322528775166419,0.06853420527009854,0.007723245979346723,-0.021093314658147694,-0.10694457421027946,-0.02897035794725428,0.057117194011290326,0.032048165929565525,0.07566481979836592,-0.007881947680193338,0.047168914699858046,0.045937699075281314,0.005052742992919106,-0.07477201261621723,0.049090376372220704,0.0643732148630641,-0.07104359242924763,0.1723286294264026,-0.12824712288560097,0.12102715352201945,0.019886171584272288,-0.05252374805422084,0.04626648972744253
I like people who have unconventional views.,-0.0232518393457355,0.040299040428997485,-0.06832703034636121,0.1175319632753667,0.07322693609340256,-0.04140104288877726,0.08231240713530115,0.06734148458304715,0.013949927887888756,0.0016791673097002696,0.006157632809329909,-0.06460316416219032,0.06592894819643712,-0.024306673661958392,-0.009615242975108358,0.04780456266343523,-0.02590335096986172,-0.01720237567160837,0.0090370119768315,0.043601402465738896,-0.006334261735257409,-0.048105371363972464,0.1199839828254822,0.08464298568148831,-0.03975903043529757,-0.0383306475065796,0.10026226721150201,0.052475194394924936,0.10762362758739351,0.10245696135793737,-0.06072329164446174,-0.007913256014751801,-0.020973513412965678,0.03409506821659367,0.05277902128880868
I make a lot of mistakes because I don't think before I act.,0.008592089168326244,0.06127791483654917,0.0236951476168678,0.15263990025497637,0.04499875340843527,-0.016616248080597182,-0.13040603208143642,-0.13164933210887278,-0.17260143489431143,0.005208490252550467,-0.08569854754294445,0.10257949372116063,0.13007829815792024,0.11764157107557856,-0.03906735647640797,0.12775546387576106,0.15480256162581382,0.050304581265149154,0.11055785277543155,-0.02881671175515747,-0.07597692561902084,-0.008288227743792839,0.11752160083926332,-0.007047004951664889,0.08123596710073873,-0.08082925840861374,-0.1361403534996942,0.20285017739131553,-0.022722859362395816,-0.006745760401793214,-4.5215248667696704e-05,0.006802094701802977,-0.15559683972901894,0.042012462958026055,0.17279955911336292
I make decisions based on the feeling of the moment rather than on careful thought.,0.15218695714043703,0.07069785934067734,-0.000724693247358792,0.0018465261094677222,-0.009739202416175303,-0.04363868937803262,-0.10377377859273886,-0.045248293202932124,-0.02653700841507404,-0.10188614492729527,0.13954979615480897,0.08768926469557964,-0.0430252350408664,-0.12965395970137314,-0.02256965049814056,0.1835362379465988,0.011451097393831109,-0.11173859653955252,0.22726671969581322,0.03259332015446912,0.10819085483714667,0.012418532014772629,0.16981402338139953,0.07622441261586507,-0.004032387146102942,-0.02713416723950043,-0.0408689479790376,-0.20511681951917385,-0.018788001114071612,-0.07239343785297268,-0.07859257160926457,-0.12198406109847668,0.024845560399538582,0.05726827466286417,-0.02245780102245809
I often check my work over repeatedly to find any mistakes.,0.10314614387697554,-0.03922146666659838,0.026740335475927055,0.16525558513215013,0.005718415364922433,0.28629869535714614,0.02204391848219646,-0.027805614283893765,0.0451829546749839,-0.05551715428369013,-0.021662860180416143,-0.2396339273389775,-0.1054702055518582,-0.0755860909451957,0.09853013522226249,-0.07179386256726739,0.014842794493304183,-0.17505127934096038,-0.044627752766859284,-0.21490164643975201,-0.04543408451192838,0.06530493744060133,0.009243226370788766,-0.11627720248240556,-0.21822077477757215,0.14033577127636898,0.12293437160586734,-0.030953849455226414,-0.022224767347177904,-0.1506534086839013,0.002654690347977339,-0.0758206548116944,-0.007256895366528099,-0.06283542907005016,0.02743654287484667
I often push myself very hard when trying to achieve a goal.,0.029693414548815588,0.04367941828591453,0.016601048008822113,-0.10158309823545908,0.0609725150369378,0.10382779663234006,0.03144251389436597,-0.017688956864115594,-0.13821162290102523,-0.010383977790522107,-0.08090587298176884,-0.004855766814394277,-0.015022367133517785,0.06279468137282326,0.07036191559873685,-0.1216312880450082,0.0006261883332668235,-0.05228356458226133,-0.14319527160897375,0.034127651070975235,0.06169434957453942,0.0030700759374792178,-0.17596088818116654,0.10143783877597788,0.09999396685749154,-0.12158048792045813,0.324924158274132,-0.0728784067247959,-0.05792159863422584,-0.08996050283336322,-0.14918360720949495,-0.05008071894898827,0.10135958669464287,0.03163929320561202,-0.10342149012803765
"I plan ahead and organize things, to avoid scrambling at the last minute.",0.08086786860938117,0.04288522435713426,0.017990271644140708,0.06934974350679712,0.13217038200847614,0.053897301433224576,-0.09596890859347135,0.00030417194807124466,0.2180396004305758,-0.13824525078705058,-0.0856422659814564,0.11964426843238528,-0.17577490289848433,-0.1005584939349793,-0.22706141392979357,0.08531260566979465,0.30038902267435674,0.22872395479518984,-0.17313830883492629,0.12466054909741937,0.053433742236831804,-0.05667453412133788,-0.17451368682435536,0.16405876465381236,-0.03919569433085802,0.1147558343562481,-0.05709183724155329,0.059981385994859276,-0.035158046850205744,-0.019503041759580595,0.03971345449930108,-0.12072371307027696,-0.11383977857707324,0.08458049363103486,0.11180810992623415
I prefer jobs that involve active social interaction to those that involve working alone.,-0.06409042797235637,0.21865457869692415,-0.05613447740270357,-0.0028381447474738193,-0.10377148749164423,-0.02711924123857983,0.16360121377841907,-0.00620184083499848,0.0024757830418118054,-0.07986391188596352,-0.18333430912328272,0.01994023178956831,0.0826663118096406,-0.03708454721257703,-0.011447272799221255,0.09467705062391349,-0.04314868160968533,0.019817798240737303,0.09947354928572616,0.15569186031434473,0.040633295538540705,-0.03506715898719786,-0.13120718801940084,0.20217804638768375,-0.10354873821505126,-0.13455230285108052,-0.037038174849437694,0.20583491674750917,-0.041902924489124756,0.1484562643735309,0.10273484090031089,-0.28386163806497994,0.05479023697218461,-0.1349963797389655,-0.2245960876203929
"I prefer to do whatever comes to mind, rather than stick to a plan.",0.13936272325716256,0.0099237310930903,0.17108711568666551,0.106551246667735,0.056806983942303255,-0.12305043784271706,-0.0802290317853632,0.18041183057003218,0.007641200490520088,-0.2695276918056771,0.16951285634855268,0.005855279053305523,0.05831611737890447,0.1553607340733197,-0.1910696921947122,-0.007515595212722507,0.0032937511120197465,0.1036885426210031,0.14840283745182717,0.05903666582074565,-0.1551561286359301,0.02300481385480022,-0.00864050683983756,-0.14031459088411255,0.005056880581668717,-0.17568320232665774,-0.06776446905513463,-0.01327651650122879,-0.013461258962368371,0.012837850060967071,0.062068491683596655,0.0697629194341357,-0.1672071845469771,-0.009682434639498819,-0.019250051831861507
I rarely discuss my problems with other people.,-0.15439631534782622,0.18535126774561994,0.12473257396616036,0.12972854237629997,0.07115618348470648,-0.057394562484993236,0.0635028371490557,0.12989759543112325,-0.09571780648362697,0.0742404702382239,0.14217377975719997,0.18336729905793833,0.03475175983030622,0.019385668028869187,-0.040409189696713324,-0.059115636936365096,0.08990427487216732,-0.12862673836020969,-0.02002505916434701,-0.11431955001535381,-0.20576843132746783,0.17117242118619658,-0.004683369842886621,-0.03786679518588735,-0.14873339168892113,-0.12348054339064941,-0.14534127073630787,-0.031273860768260525,-0.06523839514681838,-0.21733579066591535,-0.10726535157357957,0.088868095505016,-0.11772172717417646,0.11749874285723375,-0.04815954088427894
I rarely express my opinions in group meetings.,-0.07192868113629337,0.08345948029916275,0.16783391086313051,0.18962705710759117,-0.12945509172033373,-0.10294270094941492,0.11730771553877632,-0.014210270346960478,0.19501137521711337,0.26252603461724006,0.04867512297238794,-0.05402703004583694,0.40714562597587833,-0.08562936345296054,0.06337841858392385,0.0635443655329889,-0.13621289234605546,-0.09267708162654667,-0.1686417972595004,-0.05242624215198173,-0.09825250048560083,0.21440207610497553,-0.043796425365502635,0.11625079891609776,0.08172104743738834,0.021346609687767207,-0.038627284445171856,-0.12235868866249748,-0.021815038128678986,0.01603700755079754,0.028836304635086078,-0.04760402279188532,-0.007162017434716236,-0.06748895400960282,0.06915839500325903
"I rarely feel anger, even when people treat me quite badly.",-0.09793411928990553,0.15142449312861742,0.04772219539681537,-0.22188024615353438,0.12850260767539437,0.06492574251034013,0.025700112808022178,-0.15285854711360336,0.18375942914077678,-0.07525163786111853,0.06729044726717118,-0.11607711725714384,-0.026746090455835852,0.2746022723687937,0.07618236876299786,0.010404884621489467,-0.13112079654041145,0.18281566339704672,0.04062744825219987,0.06709548883169743,-0.03675743588090158,0.10155843456652179,0.10941762168814596,0.030505366878784187,-0.04174671553195293,0.03983948802233992,0.04863540277218033,-0.013199998820990986,0.14161283372222225,0.006066637949034939,-0.08593788853761282,0.034699015021203525,0.002534650711289236,0.02039828027173447,0.2250410428650647
