,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
I feel confused,0.06855346361914882,-0.043310380528378795,-0.07766780853361932,0.11463442798221173,0.12576631000214342,-0.07542303168718388,-0.1368257400665874,0.20061860466920922
I feel content,0.2115460503154063,0.05802184109484339,0.26984833313173434,-0.14034368669981598,0.28319707827353785,0.14512609046212943,-0.093821517842954,-0.1477196801547991
I feel frightened,0.04473642508003565,-0.02658602612243695,-0.08359668927741476,0.08319867644195443,0.11641106828388192,-0.02083763857935157,0.1198610438789694,-0.053321502326357385
I feel inadequate,0.06855346361914882,-0.043310380528378795,-0.07766780853361932,0.11463442798221173,0.12576631000214342,-0.07542303168718388,-0.1368257400665874,0.20061860466920922
I feel indecisive,0.3165328821754801,-0.06565295558064313,-0.02287243113391073,-0.11236961302084895,-0.013315172104207669,0.06186238558227039,0.11403521763709067,-0.19445139713501408
I feel like a failure,0.04473642508003565,-0.02658602612243695,-0.08359668927741476,0.08319867644195443,0.11641106828388192,-0.02083763857935157,0.1198610438789694,-0.053321502326357385
I feel nervous,-0.027689824443212597,-0.11810414039852002,-0.1400353580406439,0.18594940068205992,-0.09469138915983545,-0.027303864195776975,-0.07919588667936817,0.1251343550064793
I feel nervous and restless,0.2382635825721863,0.06454458219942374,-0.16966864500733467,0.12498373236802801,-0.0780049410897344,-0.04633531179001259,0.2032043673114199,0.18893227230678658
I feel pleasant,0.21863281327173034,-0.09689116853694343,0.11137059132889864,-0.1419095575270561,0.21976086940698686,0.3471152959698841,-0.12866565800503982,0.03855102732257468
I feel rested,0.27308795604958064,-0.16055408006115768,0.21405315978131956,0.20103434453913036,-0.09620430757586106,0.4115036329400664,-0.016067854408056775,0.058450935346832295
I feel satisfied,0.10208798357639474,0.2329133179844161,-0.12142231781728158,-0.11573399966401525,0.15990989980495782,-0.0692246422202421,-0.1833051303399421,0.012667968688048007
I feel satisfied with myself,0.22765237527790225,0.23178000558526823,-0.1549567358195158,-0.07913121022969528,0.16730135050443587,-0.09232355454428487,0.0344480144395041,-0.051659938439526217
I feel secure,0.1708112735416774,-0.011238852499328827,0.3343576172954781,0.25887765717315897,0.06915624976867088,-0.021813446810888565,-0.010683849470413665,-0.07803617205495056
I feel self-confident,0.10945766571530773,0.2648028272088283,0.07656892761141779,-0.0802957731832461,0.06472037164678793,-0.21315639358184307,0.09181213690528263,0.057130669526685864
I feel steady,0.1937541452124685,-0.01296938225181115,0.18937397811558823,-0.29278903487294217,0.29225088576359065,-0.10799378861401784,0.07971504755825101,0.10624661544102183
I feel strained,0.2579117081336838,-0.10273630376742646,-0.09023999259868021,0.09085247222631666,-0.05258118698787811,-0.18266533692515685,0.06200435865166319,-0.14031219702973038
I feel that difficulties are piling up so that I cannot overcome them,0.04729344666422592,-0.25077098478950577,0.09381678055884282,0.18377254063859252,-0.14316320738721822,-0.00845966321163305,0.14437149117383147,0.17694423117994448
I feel upset,0.06855346361914882,-0.043310380528378795,-0.07766780853361932,0.11463442798221173,0.12576631000214342,-0.07542303168718388,-0.1368257400665874,0.20061860466920922
I get in a state of tension or turmoil as I think over my recent concerns,0.24248784028467713,-0.19157534827306297,-0.09610585900330311,-0.048126832655537674,0.028340357093361884,-0.07234385295010966,-0.35735881417061527,-0.1951013751083792
I have disturbing thoughts.,0.05058316705176054,0.07167443806386177,-0.2268322456986238,0.18464932980983717,0.20029496484982254,0.2627270664713351,0.15440804579789602,-0.19154457053629034
I lack self-confidence,0.31103736348356437,0.0330477606414885,0.07251900529192234,-0.025153233040691704,-0.20129254275106817,-0.08220685292125758,0.1568505626348429,0.16759939026555878
I make decisions easily,0.08693007967263926,0.21989912493979485,0.1834146376023408,0.1390014289463805,-0.05554463318220667,-0.13443757147508817,0.17803461381301194,0.07817817992185913
I take disappointments so keenly that I can’t put them out of my mind,0.17446603786747952,-0.19713892320312518,0.04296222258689581,-0.050684796958411237,-0.12256257842436602,-0.14402515217091147,-0.10064566877897793,0.398830422979121
I wish I could be as happy as others seem to be,0.039574186679491564,-0.09978646425192349,-0.3304777573089816,0.049850874994387714,0.14198468395304106,-0.12686032488188345,-0.04555731970812814,0.050765342284948625
I worry too much over something that really,-0.04768712682682775,-0.2076435287680764,-0.13106557955082537,0.17728330780778104,0.12841002674218976,0.27420087417173056,0.14486405393535914,0.15514431791710537
Some unimportant thought runs through my mind and bothers me,0.09566507706223445,-0.018067429964617295,-0.16523426434310773,0.07459208475112755,-0.16211572189430828,-0.10511851863520877,-0.13136392442969858,-0.012336310335787847
doesn’t matter,0.06947350131876465,-0.08285234668645408,-0.19877791096810818,0.011861579677580121,0.31149185654682743,-0.04484071857071743,0.30355974950101666,-0.0012262545068377553
