,PC1,PC2,PC3,PC4,PC5,PC6
I live life one day at a time and don't really think about the future.,0.2289925198110664,0.06524744945729978,-0.01320512491184901,-0.10195580345363135,0.1862413977955463,0.09860970285693899
I often feel lonely because I have few close friends with whom to share my concerns.,0.2641052530797739,-0.07601480538915956,0.007292767368993542,0.08844907482592979,0.0949197458684305,0.012955570079224928
I often feel overwhelmed by my responsibilities,0.2988243193239669,-0.023002961690228245,-0.1545839346169434,0.05515442440978357,-0.08238712211851343,0.032044865073728515
I sometimes feel as if I've done all there is to do in life.,0.1925554526534986,0.1476527504386331,-0.05317466863674298,0.04298844294232893,0.28162553584123934,-0.205833714582086
I tend to be influenced by people with strong opinions.,0.21013364288224745,-0.04454688449907833,0.08804133758481432,-0.09237360283240433,0.08029661129400302,0.06151605463494148
I tend to worry about what other people think of me.,0.2988700696123496,-0.10698874951882291,-0.18783938864709335,-0.06493042835811039,-0.1629763595345695,0.07726773963011381
I think it is important to have new experiences that challenge how you think about yourself and the world.,-0.06745480798031021,-0.057311360313553286,0.05886280743856795,0.004827851645300788,0.001195538026640153,-0.042350231764050034
"In general, I feel I am in charge of the situation in which I live.",0.30223729163738255,-0.25679668923999843,0.035343704658984884,-0.0676757241227299,-0.23570637035777992,-0.063978679634532
"In general, I feel confident and positive about myself.",0.04110134657707246,-0.18758724464734997,-0.04362845813596696,0.2107122200618908,0.415627638854633,0.05547856510973605
"In many ways, I feel disappointed about my achievements in life.",0.0881294001757929,0.13452487498129417,0.17398889593031655,0.17240284601367278,-0.02791650004344159,0.06328491704501486
It's difficult for me to voice my own opinions on controversial matters.,0.06804245211372378,0.11245790100494753,-0.06797726412262407,0.4835462687122379,0.056461397968878356,0.005963621544071395
Maintaining close relationships has been difficult and frustrating for me.,0.11495954826324312,0.22456256840782485,0.12159233834770485,0.016451427166784615,0.05314684389530323,-0.23962201689099497
Most people see me as loving and affectionate.,0.14676563412137703,-0.03443297888373288,0.12699138399222876,-0.13060381279190703,-0.05889976887456463,-0.1563486282466681
My attitude about myself is probably not as positive as most people feel about themselves.,0.143889095791148,0.10645362308800571,0.14187268185984767,0.2667432293910279,0.05860448071877489,0.01853049613785686
My daily activities often seem trivial and unimportant to me.,0.19754612502274357,0.1910612107098086,0.05265789403932484,0.08353552314707666,-0.0008542507877322299,-0.08904935076287741
My decisions are not usually influenced by what everyone else is doing.,-0.07466491917303592,-0.016253545334514265,0.5079481846713169,0.24823346821946463,-0.19307537911418884,0.27610584218017203
"People would describe me as a giving person, willing to share my time with others.",-0.11078715202887626,-0.10968109104155147,0.08820244314884398,0.07588420670723348,0.01815090727158409,-0.07600881841344749
"Some people wander aimlessly through life, but I am not one of them",-0.02090558126749064,-0.03184716588281941,0.03312502375070735,0.03865203410249804,0.19052786135722793,0.09689235022511303
The demands of everyday life often get me down.,0.26627153759141525,-0.07111437247167782,0.07337217561189219,0.10953536917474369,-0.06819823495995521,0.015387701336181558
"When I compare myself to friends and acquaintances, it makes me feel good about who I am.",0.035339347381559076,-0.049516111504230687,-0.11531654676884567,0.021700947099840974,-0.04380368410028708,0.0063887847614356634
"When I look at the story of my life, I am pleased with how things have turned out.",-0.02192286167025469,-0.12010035809230835,0.012798885779055164,-0.04900676372126816,0.2030788934462435,-0.13497565034109452
"When I think about it, I haven't really improved much as a person over the years.",0.21283588376456114,0.14064254003903992,-0.026762188172704413,0.042558996964657,0.1920801439038342,-0.09102604268206345
