,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
I get along with people I come into contact with.,-0.028537604445964187,-0.15995774402483223,0.03207936266905941,-0.01110521900903001,-0.08863779454582321,-0.07365146638705786,-0.08692650748111368,0.09853963247617768,0.012418072451106661,-0.03375699820905647
I get along with people at work.,-0.00011446801224115426,-0.17189496785382968,-0.024524226454585782,0.03555935799247672,0.0019475678149885878,-0.07341802538236826,-0.07055619616848588,0.023239383630266543,-0.10904288664270512,-0.022591260998221133
I have been able to learn interesting new skills on my job.,0.044245740568089775,-0.16401734945315477,-0.0413993767625792,0.014821153982301757,-0.06264169961598745,-0.07375564568655713,0.04872009409622058,-0.10658193973931415,0.24865522560712633,0.2772824028766485
I have been able to learn interesting new skills recently.,0.1133482957019241,-0.2781372930235758,-0.0914111931897,0.11157696638197392,0.09166741106529458,-0.0368435580404963,0.12018216957722837,0.08439586312924746,0.043530641657679385,0.10113905551490238
I often do not feel very capable.,0.11429610048001573,0.16286041579762423,-0.07748419930460526,0.13648273903654126,0.0035249472491572682,0.023679811212859295,-0.13951469075163234,-0.055048463868935395,0.1906148369210549,0.042795935351191264
I pretty much keep to myself and don't have a lot of social contacts.,-0.07569291753281338,0.33181823492721985,0.159076704242556,-0.11972415615749339,-0.07316787749522852,0.06906510560569118,0.055528204637154355,-0.22301069894616965,-0.16572592826755075,-0.09535815829876804
I pretty much keep to myself when I am at work.,0.06600663733479255,-0.015456459807217587,0.14367789203133144,-0.0472598473233137,0.3423781787192217,0.08663152718133894,-0.0411903539004298,-0.05763447146436556,0.14836459248755446,0.11985326340722242
I really like the people I interact with.,0.1205883124686329,-0.11994018439794316,0.09383748240014558,0.2705615976901765,0.06178369710417399,0.1601355353256691,0.24785114423209764,-0.043107702464578596,-0.09922093147288598,-0.03803385532352295
I really like the people I work with.,0.06098528201714342,-0.09536380045956867,0.01032437805047878,0.33805139817324853,-0.08110308592721685,-0.06076627140173354,-0.27393566082756404,-0.20900633373842217,-0.11704547641756807,0.08995955766482255
"In my daily life, I frequently have to do what I am told.",-0.037479216628983625,-0.1577772233145657,0.04822731420432818,0.35428892962752584,-0.06575363571562101,0.3116303641461025,-0.049424918567235326,0.01422557934156879,-0.03346431706152904,-0.06459061967597879
In my life I do not get much of a chance to show how capable I am.,0.08506628976372227,0.23093653188548627,0.06068394303656337,-0.06477648499917492,0.12249310903115537,0.1525079083640783,0.22285955381434142,0.02349094214001958,0.0974601415804721,0.04448884333036124
Most days I feel a sense of accomplishment from what I do.,0.19424748543684428,-0.027733745741928092,-0.31634948992008416,0.013312319360171632,-0.02492970681036638,-0.06590258675553098,-0.08591213298627817,-0.2638601292479308,0.24742349876852116,-0.1072560126710977
Most days I feel a sense of accomplishment from working.,0.1815107201936317,-0.10603400539266447,-0.261272740988862,-0.03646062670566866,-0.1369092469451876,0.03376223091333706,-0.137939982884219,-0.289471851515164,0.1759016878105104,-0.021537977318454853
My feelings are taken into consideration at work.,0.19497164599029143,-0.11551401348323334,0.13115870663988533,0.128128174724864,0.25174060233203843,-0.025232220414019024,-0.1026818967295024,0.09331517471355431,0.11870351107287855,-0.10226898689382705
"Often, I do not feel very competent.",0.09398850645083763,0.14728483101900733,-0.0025639519795413734,0.054087052738086366,-0.07909811302448617,-0.0004990749730478111,-0.16875504611595435,-0.013167920957860381,0.1874235840600345,0.023752390387912742
On my job I do not get much of a chance to show how capable I am.,0.12229883039449761,0.22119177107849208,-0.06038469816472268,0.14299587446373557,-0.048097869501674745,0.010692018208324463,0.0187779628585536,0.0819772486251033,0.23446554849102766,0.029234927783175074
People I interact with on a daily basis tend to take my feelings into consideration.,0.17682385117903546,0.0607592480759118,-0.016113596321557656,-0.11958530596947144,0.011215452251435783,0.16995901040389166,0.08971269939629088,0.022145682917789844,-0.13094902571137365,0.31576059683487456
People I know tell me I am good at what I do.,0.009792578058116745,-0.10752758923133719,0.25906367131122204,-0.09211604813495214,-0.1452153619877426,0.06697367025634372,-0.004427579826085493,-0.12375212746479543,0.14824447028145554,0.05249949554713114
People are generally pretty friendly towards me.,0.027244701538812987,-0.10064168696330658,-0.0026485918326886065,0.16229337093939591,0.011636668670644003,-0.011794210020172315,-0.09881833521579277,-0.02594362854031878,-0.0325588585515927,-0.0775966031059236
People at work are pretty friendly towards me.,0.08850929913930809,-0.030566915828348667,0.08438035921192215,0.12209248103887617,0.14752564151948103,0.15258208005232543,-0.13816158042835747,0.04686423297504794,-0.08081358893260965,0.11334075762286422
People at work care about me.,0.12165427172137556,-0.061654224483171725,0.18543541965556837,0.16976925884528546,0.29603701347118627,0.012532513929265868,0.11740322505392382,-0.029306663871339803,-0.2886327526794235,0.16101107628427913
People at work tell me I am good at what I do.,0.061963095853875036,-0.06503761568108798,-0.011090772643504231,0.20195038078306352,-0.01715817000839671,0.16610094339735992,-0.10770756231038897,-0.15999336566383524,-0.036494708097451284,0.14822462434507908
People in my life care about me.,0.17764957823327557,-0.13789276776824796,-0.019304122017897968,-0.19355974972928283,-0.3304990961115676,0.026539660706403803,0.10458720766944521,0.2692942965486543,-0.051850219661826395,-0.25626288699789024
The people I interact with regularly do not seem to like me much.,0.04506066311554857,0.09749460301850739,-0.003794600237201868,0.06123322037102109,-0.07510409400547188,-0.024161668324905655,-0.12376115562544632,-0.07625736858574786,0.06902958528897103,0.09996170476290914
The people I work with do not seem to like me much.,0.07882139561803365,0.08176634144076404,-0.0910817534715051,0.29107721318480784,-0.063273876833401,-0.1772631326574517,-0.062444125350109604,0.1714285984091831,-0.0621544679594501,-0.10944318932371419
There are not many people at work that I am close to.,-0.09310595956667418,-0.057479773989417955,0.2580725430699745,0.06695410429789254,-0.24416221890437945,0.1695358325055216,0.3270963039261949,-0.07256918594087627,0.29016799238031704,0.14340742113480703
There are not many people that I am close to.,-0.15547467747120078,-0.10435642760311074,0.2036906872261852,0.10388283881358545,-0.2082150765864541,0.11298283820654742,0.18634900142910168,-0.15031388061172007,0.01813760204350633,-0.21714678461744508
There is not much opportunity for me to decide for myself how to do things in my daily life.,-0.16083875311632048,0.11522263458335952,0.36160887014251447,0.036857470046692174,-0.031151327400651796,-0.1526859938632044,-0.1847507507414286,0.1366748810984012,0.1907184408398834,0.086502699455905
There is not much opportunity for me to decide for myself how to go about my work.,-0.06298270556107428,0.023093641055253883,-0.1659298191680427,0.2625624305744411,-0.3411432203780177,0.30021535007485717,0.05184921032805165,0.20677909810825004,0.008965056100883856,0.09470134007948311
"When I am at work, I have to do what I am told.",-0.07008821614749373,-0.06213145119299342,0.22834405525581003,0.011452469229552197,-0.018536670903704852,0.21108856238480223,-0.2555615405265472,0.005425569338805156,0.12907847127111205,-0.1492579049375876
"When I am with XXXXXXX, I feel a lot of closeness and intimacy.",0.2682240701019465,0.1407960795365977,0.15155937200679886,0.016868086062345362,-0.04854378411650201,-0.08159997616187684,0.03977341260646379,-0.20765896960930522,-0.09284230085582655,-0.13027106673291428
"When I am with XXXXXXX, I feel controlled and pressured to be certain ways.",0.1393733942225586,0.1030076271444912,0.11469037970021828,0.0749020825891392,-0.16580166654155576,-0.11973671906146399,-0.09334856705195596,0.29558996321289166,-0.01812290710273952,0.16906676901178405
"When I am with XXXXXXX, I feel free to be who I am.",0.15173825340188482,-0.2267700152662562,0.1922352921936783,-0.1419023111969543,0.027924523547207127,-0.01811039850195851,-0.002271289150507498,-0.07237762968644146,0.09573357966553746,0.08310776628661548
"When I am with XXXXXXX, I feel like a competent person.",0.09882995855365022,-0.1740870240164146,-0.04194700339918273,-0.06332646797428064,0.028613751105746245,-0.27833209690762467,0.17937500580969382,0.11204724297659326,0.1533611749106211,-0.08042056235773792
"When I am with XXXXXXX, I feel loved and cared about.",0.28442322143301296,-0.00519021369669389,0.12446710060081946,-0.17567717579776979,0.036828397734617914,0.27887996684759087,-0.30756008068762675,0.319118555193958,0.07085962703609647,-0.15804894751565304
"When I am with XXXXXXX, I feel very capable and effective.",0.13254413990554964,-0.13405866025001548,0.24836414448646035,-0.011816345151768895,0.015859113168633643,-0.045505954009443406,0.028804323012117876,-0.05566208982213991,0.28886197760371013,-0.11718214368234611
"When I am with XXXXXXX, I have a say in what happens, and I can voice my opinion.",0.09712177212776855,-0.042619217143358167,-0.02502748454973909,-0.10615143139147785,-0.23103804360496835,0.1316091384004966,-0.10848492569604573,-0.04179946174761025,-0.18305705122708607,-0.01528793561940038
"When I am with XXXXXXX, I often feel a lot of distance in our relationship.",0.15922645630073118,0.17248951972749194,0.1408291011114575,0.13102484426879765,-0.1394927855215688,-0.1418644320319507,0.18750465917780526,-0.04025541644466408,-0.003600810009338387,0.042962819543755984
"When I am with XXXXXXX, I often feel inadequate or incompetent.",0.14128703145639246,0.1574355556454649,0.09245843194681021,0.1167578540477237,-0.13074010265805247,-0.22044632928088714,-0.03683111930418882,0.056428273343692256,0.05038899681763529,0.14368120140185126
When I am working I often do not feel very capable.,0.10787105158489312,0.15106366101888394,-0.025209135713342837,0.18222916389789898,-0.031764576944969064,-0.10837611345964548,0.20005551393695434,0.031530417828406,0.08721954699399687,-0.16522240041648278
