,PC1,PC2,PC3,PC4,PC5,PC6,PC7
I feel nervous,0.23003666843138773,-0.007966334459512196,-0.14126927314744606,0.009860873214563005,-0.07948183660848188,0.0043580461396599815,-0.11175046950120368
I feel nervous and restless,0.17649778518794715,-0.20563830767633376,-0.17392098207604165,0.04947077800119365,0.02232029118341025,-0.02424467642606,0.13685173288146094
I feel pleasant,0.07884534924796131,0.06924626214369141,-0.16240134140970797,0.007114040528619449,0.24026016383985555,0.05200768359689682,0.10891394653070435
I feel rested,0.22490181650706184,0.14915996551324673,-0.28491035917660734,0.3932197496095637,0.035116906696650386,-0.30021985002909696,0.38460968217112074
I feel satisfied,0.04519590705614268,0.3216725708354506,-0.13397903607560094,-0.021153888686346357,-0.16964842708473374,0.0064703960645809385,-0.34039926747530397
I feel satisfied with myself,0.023864011807913976,0.06610614217770866,-0.010195155180991636,0.09007092399307683,0.03123825197197422,0.1306160396477614,0.0617207280223266
I feel secure,0.05009488106065061,0.18787208574569111,-0.15431448801097783,-0.08908147244211646,0.04822959040358256,-0.031644166237221015,-0.051012695114749124
I feel self-confident,0.09738113574807178,0.1689931212011421,-0.22138390959212007,-0.14714483020716052,0.09449606241123139,0.08930432882065549,-0.047087112290439444
I feel steady,-0.02371524029264641,-0.04726760206039342,-0.08371224457320448,0.07061254240634533,-0.04651107320318563,0.16098032291241154,0.2946992460329013
I feel strained,0.1429909555674116,0.06550452428586881,0.3212540926322359,0.1739713233299801,-0.015649010585439813,-0.1630181607618244,0.062030955305640956
I feel that difficulties are piling up so that I cannot overcome them,0.19916829635961467,-0.026695184488852365,0.11287250224696745,-0.2328416038826527,-0.08147956221452524,-0.2620716268748564,0.1748872788659714
I feel upset,0.3705900077418676,0.03296272565850062,-0.12282630860102399,0.010498530458620817,0.08069250924964626,-0.22453019512436814,-0.3686480774189757
I get in a state of tension or turmoil as I think over my recent concerns,0.11520117197153791,0.0663980633503678,0.11146897429173268,0.20699384435938387,-0.05132696987808457,0.467420816839332,0.1954309474906593
I have disturbing thoughts.,0.10415828350078138,-0.06204261423007264,0.2981952947307723,0.16841757483918865,0.011097761735792393,-0.04675820639914531,-0.30340760180254367
I lack self-confidence,0.06046343562861916,0.10643321077386021,0.25140407163758954,0.009766538691956528,-0.09429588796530036,-0.09082535483504538,-0.03266866790472121
I make decisions easily,-0.022114128798344138,0.25414103495891716,0.22258919206769842,0.159637380471067,-0.11757071664861875,-0.10470377833529311,-0.05845358295894714
I take disappointments so keenly that I can’t put them out of my mind,0.1867067358395197,0.07484927422642672,-0.15466243329461532,-0.09098628728169968,-0.38109025771434746,0.16297334971698238,0.07853639856339582
I wish I could be as happy as others seem to be,0.14874705553626136,-0.007692550830383763,0.07159898473615314,-0.10299042831101038,0.04581477373501375,0.12353825168963314,0.12025951857886405
I worry too much over something that really,0.2266179211432956,0.0028959729096138284,-0.05653799026683384,-0.016064646423365286,0.2857932603085205,0.05857689518790146,-0.014145527304579917
Some unimportant thought runs through my mind and bothers me,0.1267576378528226,0.046889090579855075,-0.06180151676092686,-0.15778832120602837,-0.16140583219115678,-0.17143026791685131,-0.07228553736509293
doesn’t matter,0.156401248201098,-0.1753821061242259,-0.027885298741952003,0.6332340887127335,-0.07341157363727316,-0.09796179361539198,-0.18119506724080667
