,PC1,PC2,PC3,PC4,PC5
I feel irritated when one person disagrees with what everyone else in a group believes.,0.16373631980859465,0.14777938394213866,0.45996077933818036,-0.41635259400311103,0.330224325307506
I feel uncomfortable when I don't understand the reason why an event occurred in my life.,-0.18908589424828953,0.3219966812479837,-0.1442816817061667,0.05935756048597878,0.10778867404419243
I feel uncomfortable when someone's meaning or intention is unclear to me.,0.059724615320289054,0.13498295155927956,0.075242235894121,0.059355884471307074,-0.019324178350109987
I find that a well ordered life with regular hours suits my temperament.,0.11016207780709462,0.08642462028520753,0.06892753445940976,0.11296913199077899,-0.06717381704688329
I find that establishing a consistent routine enables me to enjoy life more.,0.05310864645360173,0.09314012501471665,-0.018573763984877006,0.0040019526578747855,-0.128766886369547
I hate to change my plans at the last minute.,0.049066942326795634,0.04746414662442164,0.07300037084550151,-0.08975264830343677,0.16850204232664323
I like to have a place for everything and everything in its place.,0.03488717247152308,0.18471556285256097,-0.10378614296296168,0.03345830278154158,0.1321969727371452
I like to have friends who are unpredictable.,0.36686840219952527,0.028754063392178546,-0.04700428203165972,-0.18050399542535378,-0.08929090478389037
I like to know what people are thinking all the time.,0.28019054631912604,-0.047128040439556936,0.08563113492344535,0.1686467158981675,0.16352553040430223
I prefer interacting with people whose opinions are very different from my own.,-0.17919205303755492,0.2548672584009216,-0.014918956151690617,-0.2266793007694178,-0.2714048015519618
I prefer to socialize with familiar friends because I know what to expect from them.,0.048766020770971565,0.1018294338440835,-0.0006119615222807544,0.03685906337579976,-0.15865992632488088
I think it is fun to change my plans at the last moment.,0.18311800599754702,0.14110258591580857,-0.04997982547027628,-0.023555927553932973,-0.2155247291627641
I think that I would learn best in a class that lacks clearly stated objectives and requirements.,0.2934547103543237,-0.13308731873474902,0.02994078572371441,0.008018792848222886,-0.1082058985043555
I think that having clear rules and order at work is essential for success.,0.013550270686416845,0.020653309222750913,-0.0313207749535989,-0.10841868379781729,0.022280667493798013
I would quickly become impatient and irritated if I would not find a solution to a problem immediately.,0.1793591633204725,0.18754487520311866,0.036177683354470476,-0.07927596662934236,0.10286740237757651
I would rather make a decision quickly than sleep over it.,0.28011702389712834,0.28775576308902096,-0.07567460456800817,-0.01314917820612519,-0.04382393587145622
I'd rather know bad news than stay in a state of uncertainty.,0.1265350040467954,0.0056284405886303755,-0.06532647999958588,0.06567915136168549,-0.018841734127225403
"In most social conflicts, I can easily see which side is right and which is wrong.",0.2320968410285586,0.04340017366609429,-0.214059142269097,-0.07425657844919437,-0.1941949297381162
It's annoying to listen to someone who cannot seem to make up his or her line.,-0.01615840052191173,-0.15001792548746437,0.4474256139148109,0.1081635009186474,-0.20065260203596735
My personal space is usually messy and disorganized.,-0.13597852914267541,0.2690353487979283,0.08860855639113888,0.12954487616881113,-0.2651342131959407
"When I am confronted with a problem, I'm dying to reach a solution very quickly.",-0.10838703568201821,0.3209057947856527,-0.06428002011353136,-0.07171607076349476,-0.028073090387706175
"When I am confused about an important issue, I feel very upset.",-0.03205975064779502,0.07503968611079649,0.14344311908305515,0.05835605058157045,0.05789809664358071
"When I have made a decision, I feel relieved.",0.005440648860077904,0.0598973842763651,0.008761945801407227,-0.08515984220994494,0.01654633260168466
"When considering most conflict situations, I can usually see how both sides could be right.",-0.007433754868003321,0.01418336411599158,-0.038299730055402686,0.158372169579827,0.09338578936957136
"When dining out, I like to go to places where I have been before so that I know what to expect.",0.03594835691380044,0.16763757758401776,-0.009547314950441064,0.1068623519268493,-0.01773119145720627
"When thinking about a problem, I consider as many different opinions on the issue as possible.",-0.033995363428120214,0.08154251200832789,-0.05861643717491729,0.08083067395760009,0.016608150009811983
