,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Has difficulty getting started on tasks.,0.07659186597920666,-0.009605673859363327,0.3358329061974733,0.13063897646255124,0.17830363233607577,-0.06659690480061106,-0.3496532429425608,-0.25120971655422997,-0.030369700928658067,0.14451985643117748,-0.17705184214221734
Has difficulty imagining things.,0.18331771078988213,-0.07983000729811987,-0.0881322339352791,-0.14523099067742506,-0.09745116874302162,-0.03835853088342861,-0.1675011495311482,-0.059753782927366605,0.2349269647262474,-0.0665856667777736,0.11016990263753168
Has few artistic interests.,0.11227754415255971,-0.028016468786272654,-0.13156465792242392,0.020032475750578066,0.24488685720275932,0.09660773118654381,0.2841301478301783,-0.19323607210755975,-0.1924993680773749,0.092999101261247,-0.1792982267738617
Has little creativity.,0.2454971802842057,-0.05454260987533333,0.006166559950957343,-0.1344248884856212,0.035877784955257286,-0.1766466363896106,0.03307071822127999,0.1148682651788337,0.06601313807199004,-0.06805955904197855,0.22060468187746018
Has little interest in abstract ideas.,0.08921593008983399,0.04924800425248128,-0.11717103273914208,0.2578526938579428,-0.1426814539340693,0.0988331730207396,0.15812332224253664,-0.09112638220408686,0.30721376506830644,0.14157520081410255,-0.048858196728521916
"Is compassionate, has a soft heart.",0.023421620926613904,-0.007129021500202377,0.015587382818521102,0.004062859597842926,0.002148169780949777,-0.11779548108644353,-0.0013712843777117234,-0.004593034547749453,0.022511933250947025,0.0015417256778375021,-0.047580728713818576
"Is complex, a deep thinker.",0.07648626250042384,0.26174406118874843,0.04828531707116831,-0.0319262088080518,-0.017113195639723605,0.011695381765791405,0.05046570433861948,-0.03269576080331576,-0.14182234171348884,-0.11138662958208237,0.014839070278456185
Is curious about many different things.,-0.04306812387231706,0.010208914084366045,0.034873263214740456,0.04877974941963376,0.07911529824176025,-0.03038473906015701,0.005164491786350548,-0.00022700574699694928,0.022904941817574243,0.023720224275793796,0.022720354331524945
"Is dependable, steady.",0.03323451387489436,-0.0691021379167511,0.02165532470828075,-0.12167792305633288,-0.057876779991905804,0.04223853416781074,-0.03169771782213201,-0.016713488756410523,-0.02164598710863236,-0.018279956235144293,-0.055413094473694746
"Is dominant, acts as a leader.",0.08547820654028931,0.14188175851791474,-0.07785657291416685,-0.013584805866657168,0.10614095326476984,0.08705670465041998,-0.02737372481159076,0.37736538787385493,-0.15200096149410408,-0.0604241072099031,-0.1884254359476127
"Is efficient, gets things done.",-0.029057704938288784,0.04157865807256876,0.07092039132749722,0.04907823101208769,0.08118606875175942,-0.04355864971537511,0.030797523571208865,0.025593321055849893,0.029847720033826297,-0.0072887384107554465,0.07223333645793228
"Is emotionally stable, not easily upset.",0.09103807737288777,0.1317430624781869,0.07811239994357697,-0.05027406464062281,-0.3218669385972859,0.03541357376561463,-0.22295655676475726,0.031118960735768954,0.40012352197161816,0.07965090463063335,0.030110825613821834
"Is fascinated by art, music, or literature.",0.03479731770489875,0.12402941374062999,0.07721644194314523,-0.07441451516084704,-0.011093289363402842,-0.013653043957401354,0.04977213213922276,0.03107278416869483,-0.08942899882414845,0.09838443519695209,0.07979416920955062
Is full of energy.,0.03170196733453735,0.26608113216828694,-0.016716492601888504,-0.010509196105177452,-0.02170416024803347,0.10166418589758622,0.1533613973443876,-0.12258737226977484,-0.018964390828149158,-0.054319536850988046,0.058492397231973844
Is helpful and unselfish with others.,-0.005574193884355831,0.07333379299526428,-0.06225526835477101,0.08906763923799484,-0.048513211897201404,0.0017739648149719006,0.01411954855183921,-0.005472204980799834,0.0353405288384531,-0.010699956545361003,-0.06555195488284055
"Is inventive, finds clever ways to do things.",0.08463195546844078,0.12229235809280002,-0.012832247957790732,-0.14839178713860182,-0.10469171873560042,-0.04939682888564316,0.04856817966429172,-0.17537789157277708,-0.006436790922780071,-0.09640439668622973,0.10088263844349343
Is less active than other people.,0.20525653320154627,-0.13159215635984522,-0.1578487180636144,-0.06551137135338658,0.003501643994200431,0.09783007586884813,-0.11001519520131511,0.20271241674467635,0.0069207593238487,-0.2055304443369975,0.05611435676192399
"Is moody, has up and down mood swings.",0.1410509966451964,0.09347276810247548,-0.024119347184826535,0.06770611034918318,0.03287509014496954,0.08350532771420849,-0.06911630291193115,-0.1889076394462323,-0.15274075916715016,0.14826220767021242,0.08263587879117022
"Is original, comes up with new ideas.",0.03821856212320689,0.2530301863488319,0.06346917035014303,-0.020405315786572342,-0.033107818252049934,0.0008212900797871509,0.10214497011120988,0.07041939587786654,-0.1208623045213387,0.017654235106991784,0.021785009765468818
"Is outgoing, sociable.",0.1092537844308849,0.15074065951450735,0.006464122175048308,-0.158001528392394,-0.08136352686346475,0.021199288101370346,-0.0343350727749521,-0.07573089899481755,0.034599071519455585,-0.16104286137007082,0.042439371447302865
"Is persistent, works until the task is finished.",-0.043068123872317066,0.010208914084366045,0.034873263214740456,0.04877974941963375,0.07911529824176025,-0.03038473906015701,0.005164491786350549,-0.00022700574699694438,0.022904941817574166,0.02372022427579373,0.022720354331525035
"Is polite, courteous to others.",-0.0071821638854006825,0.029668845951387492,0.017360349783797874,-0.06110870336297454,0.009749276392722628,-0.18657495942247834,-0.025051117363254303,0.04403522863545471,0.04362223648322146,-0.006166768976058126,-0.09150483678652899
"Is relaxed, handles stress well.",0.08493183520721388,0.24289424084300978,-0.10939566004162429,-0.03383548257161047,0.024777872413870458,0.02594396026709373,0.11627917043963097,0.11504500784325447,0.2142330416887163,0.1496625525207336,-0.08522465092760716
"Is reliable, can always be counted on.",0.04167073892456681,0.035601399066715896,-0.004552815533733513,-0.032311802225884104,-0.10431922137910817,0.03083858832756452,0.008054862514565542,0.0036346330656365847,0.020637319946072947,-0.059988875467054545,-0.07145206723012816
"Is respectful, treats others with respect.",-0.05604666531355608,0.14264114175107465,-0.03729413727871897,-0.03514516093479424,-0.09085554879376796,-0.25202475558797577,-0.002981240492558309,-0.0644655008468594,0.020110181976094117,-0.0625136754217431,-0.061122818185353124
Is sometimes rude to others.,0.19877164225768176,0.08797716321287617,0.223494084957299,0.5561670229903527,-0.10513108817499082,-0.12414097717068573,-0.06501071002770345,0.28416932364863967,0.1102933786632045,0.015049879543955738,0.1755000839321885
"Is sometimes shy, introverted.",0.04594831553235993,-0.07027134883322422,0.3026177839703591,-0.055868582006478984,-0.1717502160386361,0.2324621486533487,0.1272573014652352,0.0948065548625654,-0.26132602324318654,-0.026738497749623696,0.029461824189564337
Is suspicious of others’ intentions.,0.22463817006509118,-0.09098213872962162,0.006855061155863067,0.07667961173256622,0.02758625025355604,-0.009236786489297918,0.066012729676779,0.13814399028788282,-0.0967321193512148,0.00405151455003654,-0.1248063889892017
"Is systematic, likes to keep things in order.",0.060921624385278574,0.11234802999260303,0.17237098900645006,-0.15967987881312629,0.006036885443674405,0.006377965900490041,-0.009584815377077678,0.008819756059394819,-0.0891743164757683,-0.0144388121600013,0.022305445662159504
Is talkative.,0.05971496629594024,0.14010144718548992,0.1638800283639048,-0.1870147415631353,0.02571450579694965,-0.09251624368601175,-0.001995482158795226,-0.03901266217358363,0.038264380630476096,-0.04942746300325344,-0.1280128022138395
"Is temperamental, gets emotional easily.",0.09878158696876131,0.14611353845974237,-0.1586775337927861,0.045314565190094046,0.19144567388958805,0.029904997589207633,-0.13980964151175285,0.4301468745066321,0.006619258008040911,-0.03916612383647097,0.07128704580141944
Keeps their emotions under control.,0.02570085183923545,0.12277443876176214,0.20995364668280683,-0.14604743014389754,-0.12404405563127126,0.027995544559663275,-0.04629767040703515,-0.003505572625760372,0.011599713510105317,0.1533923446051353,0.0807251203781316
Keeps things neat and tidy.,3.4974910447926086e-06,0.13110183337436215,0.12938399182048532,-0.16884715727281735,0.11977338865547821,-0.07814210463134062,0.08375284335956852,0.026006374986296748,0.047146768735559605,0.10555158827719208,-0.12333724130988426
"Leaves a mess, doesn’t clean up.",0.2460593581268112,-0.1179212806912731,0.001942723229612387,-0.09820779944690847,0.13863131186717792,0.1122404192640291,0.0654589731449297,0.050133262997694786,-0.10409821208151623,-0.09942190330198893,0.3543680654004918
Often feels sad.,0.20570792580495056,0.07633404349310026,-0.14044260171398737,0.16000374459675779,0.24951279663203096,-0.12199804934296886,-0.2702031055593326,-0.11970797559616181,-0.006188715254940939,0.1814040497494774,-0.12288410910589367
Prefers to have others take charge.,0.14709019210111268,-0.2037774843654625,0.15945713698802796,0.05760337907372961,-0.02412780632886328,-0.1475361273858551,0.16910039902599314,-0.04639811685971518,0.07789418025850421,0.37995511291777084,0.23294928993434563
Rarely feels anxious or afraid.,0.056110136156736934,-0.051600054011837745,-0.04859997167396651,-0.26898988332980567,0.3791697716960351,0.2737857800844823,-0.0656212066563821,0.06554167842554558,0.2983041994043533,0.2228922613965096,0.0325018787288439
Rarely feels excited or eager.,0.24561561515243496,-0.09040537370453618,-0.10930159234354346,-0.16463102529783266,-0.12072567395770349,-0.18058089158458507,-0.08333798183203873,0.00254022413382972,-0.08171036915096837,0.0567943589575308,-0.0357508830453726
Shows a lot of enthusiasm.,0.10020391238846493,0.20076705748803472,-0.01832648194415476,-0.06320847571072741,-0.10088262634281289,-0.02651978108024204,0.08445902201000338,-0.06141994523061293,-0.0815575404969459,-0.06326815622109669,0.08234446618371888
Sometimes behaves irresponsibly.,0.07208408791324775,0.00661136169402295,0.4073459635474051,0.13898974189371552,0.19666540808223776,0.3206818013714136,-0.11555519611041812,-0.15115693326387747,-0.038851474092172135,-0.0565666545998524,0.08195969503768238
Starts arguments with others.,0.08478734356731937,0.02432297764542282,0.045237351256420436,-0.0018251444206583926,0.0761734239828787,-0.017699051954497287,-0.04018288377010775,0.08297341174798363,-0.0648783392819971,0.017276581524150337,0.15147628702569263
Stays optimistic after experiencing a setback.,0.014247343023702197,0.25065188858998727,0.0927454853848468,0.01039223814851568,0.02522724732018494,-0.079036004202699,0.13123474110670116,0.061160915896243756,0.006423296473416663,0.11979461792642433,0.10393987766963363
Tends to be disorganized.,0.16989269775738586,-0.16099743567351524,0.026106979106621134,-0.017124959759230087,-0.10422058973789786,-0.12322943606865028,-0.23057273599668715,-0.19200643055105937,-0.08799780383591697,-0.2570354322662117,0.10434656377355993
Tends to be lazy.,0.17676467112249225,-0.17279385427589472,0.053188918777007266,-0.13991889026228052,0.2821064962767445,-0.1435332012466745,0.015925566887403677,-0.003728525081148755,0.0760085055086928,-0.07264892702941227,-0.06869244653419244
Tends to be quiet.,0.03286001711530305,-0.14519848305821162,0.11370441630322578,-0.055891370422230906,-0.044901001099870344,-0.10624425368450978,0.1764727681426908,-0.030420698920237885,0.021514531371940544,-0.0770064979901204,-0.010883959829929726
"Tends to feel depressed, blue.",0.2553198493563364,0.2375264610197517,-0.18472512487727524,0.06706667653615477,0.12938741694391048,-0.0015399439302785493,-0.0619318461333974,-0.1456335675129869,-0.17364297909374263,0.04805725691893146,0.12805233239541924
Tends to find fault with others.,0.14491661160400743,-0.08662792892909171,0.09614142881563335,0.15781351435386692,0.18146392473311873,-0.21602982623303177,0.4827791068137506,-0.07274816993605497,0.19818976100086796,-0.16402488101732343,-0.09039467603567802
Thinks poetry and plays are boring.,0.2352121409955785,-0.06588685952267333,-0.17505807155059008,0.12497446139489134,-0.11624894793352787,0.06100397738831021,0.16139710213696892,-0.010270431348694114,-0.09852982909030762,0.005937427116708795,-0.1308142482706761
Values art and beauty.,0.004430348030043209,-0.0008477450362926793,0.08585099933906018,-0.11285512470294357,0.004975981555019468,0.005902379293589307,-0.007425536543497028,-0.011854108269798803,-0.06728272326342598,0.11800237174934265,-0.03179666362777624
Worries a lot.,0.057778523278604846,0.1998274122748931,0.057991885159259106,0.05595507762924685,0.09704360356833452,-0.09126029701489399,-0.146361310811337,-0.01713548103784958,0.03762783197141173,-0.1685000821794191,-0.3358536150618301
