,PC1,PC2,PC3,PC4,PC5,PC6
I think that having clear rules and order at work is essential for success.,0.0046608129744121676,0.058544813882478515,-0.14366958467825508,-0.017085616050603478,-0.13640144372686083,0.029169791012266084
I would quickly become impatient and irritated if I would not find a solution to a problem immediately.,0.2752660748607206,-0.025699218616975196,0.13922585829702872,-0.05384012346598537,0.31456093739880187,0.14486496491498363
I would rather make a decision quickly than sleep over it.,0.09183474871522285,0.47093405387557946,-0.014396399510737058,-0.2961488339643792,-0.16941715516057784,0.04183291150570979
I'd rather know bad news than stay in a state of uncertainty.,0.14723240700142845,0.051059047385635374,-0.09694158292177937,-0.016044964674241324,-0.057181183889539675,0.09829128989280093
"In most social conflicts, I can easily see which side is right and which is wrong.",0.09723386989836305,0.02224258753246858,0.363065675089964,0.023109972128507843,-0.06415715753551793,-0.2399739129557506
It's annoying to listen to someone who cannot seem to make up his or her line.,0.11023718010532656,0.10749572192213327,-0.05629137103095349,0.3082448691204213,-0.061539828849231266,-0.17785073924258382
My personal space is usually messy and disorganized.,0.1585768529432748,0.08927560148925531,-0.1898586666933996,-0.21747217347199346,0.32133025923846353,-0.09033782927834152
"When I am confronted with a problem, I'm dying to reach a solution very quickly.",0.23835563579816113,-0.26056308166912484,0.037657643020469214,-0.2595971523818423,-0.20429295543661966,-0.189503424775751
"When I am confused about an important issue, I feel very upset.",0.2291070431759314,-0.10877289353781573,-0.13766352055145742,0.09093894597016271,0.2907714230644671,-0.08356575511669459
"When I have made a decision, I feel relieved.",0.13326020276289557,-0.10129441239012575,-0.034136675837902204,-0.09969999589232124,0.10040359093075409,-0.1684643773096842
"When considering most conflict situations, I can usually see how both sides could be right.",0.016829564593403852,0.04515992426300406,0.022352146605928602,-0.021283788854911345,-0.13291586241681974,0.06883148610333742
"When dining out, I like to go to places where I have been before so that I know what to expect.",0.14603196476385452,0.3482320627164346,0.09152786637239861,-0.09923300596536407,-0.12118696072309575,0.01572381280320116
"When thinking about a problem, I consider as many different opinions on the issue as possible.",0.01937064497977368,0.022288666333608584,0.0053876335415950945,-0.04474062048072261,0.0010433812533581083,-0.06827374276734184
