questionnaire,item,item_index,r_pc1,var,n_models
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel a lot of closeness and intimacy.",49,0.7037,3.461,48
BSI,Difficulty making decisions,26,0.7025,0.766,48
Spheres of Control-3,My major accomplishments are entirely due to my hard work and ability.,12,0.7022,2.744,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I believe that wallowing in it is all I can do",30,0.7014,0.851,48
MCQ-30,"When I start worrying, I cannot stop",20,0.7009,0.999,47
State Trait Anxiety Inventory,I am worried,16,0.7005,0.594,48
DASS-21,I was worried about situations in which I might panic and make a fool of myself,8,0.7003,0.693,47
Interpersonal Reactivity Index (IRI),"In emergency situations, I feel apprehensive and ill-at-ease.",5,0.6999,1.277,46
CERQ (Cognitive Emotion Regulation Questionnaire),I feel that I am the one to blame for it.,0,0.6995,1.016,49
BSI,Feeling easily annoyed or irritated,5,0.6987,0.636,49
Interpersonal Reactivity Index (IRI),"After seeing a play or movie, I have felt as though I were one of the characters. ",15,0.6984,1.402,50
Adult Temperament Questionnaire,Sometimes minor events cause me to feel intense happiness.,2,0.6983,3.128,49
Self-Monitoring Scale-Revised,I can usually tell when I’ve said something inappropriate by reading it in the listener’s eyes.,7,0.6965,2.041,50
Varieties of Inner Speech Questionnaire-R,What I say in my inner speech makes me feel anxious,22,0.6963,2.047,49
BAI,Heart pounding/racing,6,0.6952,0.708,49
Adult Temperament Questionnaire,It is hard to resist buying attractive items in a store.,62,0.6949,3.347,48
BAI,Nervous,9,0.6949,1.083,49
Five Facet Mindfullness Questionnaire (FFMQ),I have trouble thinking of the right words to express how I feel about things.,15,0.6946,0.808,48
Individualism-collectivism IND-COL,It annoys me when others people perform better than I do,6,0.6946,3.414,46
Need for Closure Scale (NFCS),"When I am confused about an important issue, I feel very upset.",13,0.6943,2.357,47
Basic Psychological Needs Scale,I consider the people I regularly interact with to be my friends.,8,0.6935,2.9,50
BFI-2,"Avoids intellectual, philosophical discussions.",24,0.6924,0.972,48
Need for Closure Scale (NFCS),I would quickly become impatient and irritated if I would not find a solution to a problem immediately.,14,0.6921,2.142,49
BAI,Fear of worst happening,4,0.6918,0.776,49
The Internal Representation Questionnaire,"I see words in my ""mind’s eye"" when I think",23,0.6911,1.68,45
DASS-21,I found it difficult to relax,11,0.6904,0.748,49
Varieties of Inner Speech Questionnaire-R,	I calm myself down by talking silently to myself,21,0.6899,2.542,49
IRQ,My mental images are very vivid and photographic,2,0.6887,1.493,49
BFI-2,Tends to be disorganized.,2,0.6873,0.667,49
State Trait Anxiety Inventory,I feel nervous,11,0.6871,0.772,49
Adult Temperament Questionnaire,I often make plans that I do not follow through with.,4,0.6865,1.977,47
Need for Closure Scale (NFCS),I hate to change my plans at the last minute.,9,0.686,1.5,49
BSI,Trouble concentrating,35,0.6853,0.84,47
HEXACO,I find it hard to keep my temper when people insult me.,92,0.6852,1.319,48
Self-Monitoring Scale-Revised,I have trouble changing my behavior to suit different people and different situations.,8,0.6833,1.251,48
State Trait Anxiety Inventory,I feel nervous and restless,21,0.6822,0.81,47
IRQ,"I hear words in my ""mind’s ear"" when I think",17,0.6811,1.843,50
Five Facet Mindfullness Questionnaire (FFMQ),I rush through activities without being really attentive to them.,27,0.6802,0.833,49
Adult Temperament Questionnaire,"When I am afraid of how something might turn out, I avoid dealing with it.",71,0.6802,2.708,49
DASS-21,I found it difficult to work up the initiative to do things,4,0.6798,0.749,49
SVQ,I sometimes verbalize my thoughts when I'm feeling angry or upset about something,23,0.6779,2.849,48
The Internal Representation Questionnaire,If I talk to myself in my head it is usually accompanied by visual imagery,8,0.6716,1.037,50
BSI,Feeling that people will take advantage of you if you let them,50,0.671,0.807,48
Schwartz_Values,Getting what I want in life is among my most important values,29,0.6709,1.546,48
State Trait Anxiety Inventory,I worry too much over something that really,28,0.6686,0.759,48
Interpersonal Reactivity Index (IRI),I am often quite touched by things that I see happen. ,19,0.6683,1.08,49
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel loved and cared about.",44,0.6682,4.483,45
Five Facet Mindfullness Questionnaire (FFMQ),"I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.",10,0.6674,1.128,48
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I believe that I’ll end up feeling very depressed",15,0.6671,0.999,49
Balanced Inventory of Desirable Responding Version 6,I sometimes tell lies if I have to.,20,0.665,1.993,48
BAI,Fear of losing control,13,0.6643,0.734,48
HEXACO,"When working on something, I don't pay much attention to small details.",37,0.6639,0.744,48
DASS-21,I felt down-hearted and blue,12,0.6624,0.779,49
Self-Monitoring Scale-Revised,In conversations‚ I am sensitive to even the slightest change in the facial expression of the person I’m conversing with.,3,0.6593,2.551,48
DASS-21,I felt that I was using a lot of nervous energy,7,0.658,0.636,49
Balanced Inventory of Desirable Responding Version 6,"When my emotions are aroused, it biases my thinking.",5,0.6572,2.645,47
Adult Temperament Questionnaire,I often make plans that I do not follow through with. (duplicate OCR artifact — actual item 8 already above; ignore duplication),7,0.657,1.766,49
HEXACO,"If I want something from someone, I will laugh at that person's worst jokes.",53,0.6557,1.074,49
Schwartz_Values,I like to feel a rush,20,0.6553,1.615,48
Interpersonal Reactivity Index (IRI),"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments. ",14,0.655,1.228,50
The Internal Representation Questionnaire,I often enjoy the use of mental pictures to reminisce,0,0.6545,0.963,49
Adult Temperament Questionnaire,Sometimes I feel a sense of panic or terror for no apparent reason.,50,0.6544,2.584,47
Need for Closure Scale (NFCS),My personal space is usually messy and disorganized.,19,0.654,1.455,49
Need for Closure Scale (NFCS),I dislike the routine aspects of my work (studies).,40,0.6516,1.063,48
BSI,Feeling so restless you couldn’t sit still,48,0.6512,0.813,47
DERS (Difficulties in Emotion Regulation Scale),I care about what I am feeling,7,0.65,1.664,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I feel guilty for feeling that way",24,0.6484,0.967,49
HEXACO,I make a lot of mistakes because I don't think before I act.,43,0.6468,0.532,47
HEXACO,I sometimes can't help worrying about little things.,10,0.6467,0.878,49
Moral Foundations Questionnaire (MFQ-30),I am proud of my country’s history,2,0.6464,1.561,50
The Internal Representation Questionnaire,I can close my eyes and easily picture a scene that I have experienced,1,0.6458,1.922,49
BSI,Feeling lonely even when you are with people,13,0.6457,0.903,49
State Trait Anxiety Inventory,I am jittery,12,0.6425,0.742,49
The Internal Representation Questionnaire,"When I think about someone I know well, I instantly see their face in my mind",4,0.6423,1.818,47
HEXACO,I feel like crying when I see other people crying.,22,0.6419,1.088,49
IRQ,I hear a running summary of everything I am doing in my head,26,0.641,1.204,45
HEXACO,I want people to know that I am an important person of high status.,95,0.6402,1.333,49
CERQ (Cognitive Emotion Regulation Questionnaire),I often think that what I have experienced is the worst that can happen to a person.,30,0.6396,1.061,50
BSI,Others not giving you proper credit for your achievements,47,0.6394,0.606,49
Adult Temperament Questionnaire,I become easily frightened.,0,0.6385,2.068,45
Five Facet Mindfullness Questionnaire (FFMQ),"I pay attention to sensations, such as the wind in my hair or sun on my face.",14,0.6379,1.6,49
BSI,Nervousness or shakiness inside,0,0.636,0.683,49
BSI,Feeling lonely,15,0.6342,0.705,46
Need for Closure Scale (NFCS),I feel irritated when one person disagrees with what everyone else in a group believes.,8,0.6331,1.436,48
BFI-2,Tends to be lazy.,7,0.633,0.872,48
SVQ,I sometimes verbalize my thoughts when I'm trying not to get angry,20,0.6317,2.704,50
Balanced Inventory of Desirable Responding Version 6,I am fully in control of my own fate.,8,0.6316,3.225,49
MCQ-30,"If I did not control a worrying thought and then it happened, it would be my fault",5,0.6301,0.585,48
Adult Temperament Questionnaire,"When listening to music, I usually like to turn up the volume more than other people.",22,0.6301,1.785,48
Interpersonal Reactivity Index (IRI),"I daydream and fantasize, with some regularity, about things that might happen to me.",0,0.6274,1.267,49
The Internal Representation Questionnaire,"When I read, I tend to hear a voice in my ""mind’s ear""",21,0.6273,1.594,49
BSI,Feeling tense or keyed up,37,0.6272,0.764,48
CERQ (Cognitive Emotion Regulation Questionnaire),I think that I cannot change anything about it.,6,0.627,0.934,50
HEXACO,I do only the minimum amount of work needed to get by.,79,0.6258,0.532,50
MCQ-30,I need to worry in order to remain organised,6,0.6253,0.392,50
BSI,Trouble falling asleep,24,0.6241,0.832,49
Moral Foundations Questionnaire (MFQ-30),Whether or not someone violated standards of purity and decency,4,0.6227,1.53,48
State Trait Anxiety Inventory,I feel that difficulties are piling up so that I cannot overcome them,27,0.6225,0.835,47
Five Facet Mindfullness Questionnaire (FFMQ),I am easily distracted.,12,0.622,0.826,49
Interpersonal Reactivity Index (IRI),I tend to lose control during emergencies.,23,0.6216,0.99,50
BSI,Feeling blocked in getting things done,14,0.6215,0.936,48
Adult Temperament Questionnaire,Loud noises sometimes scare me.,60,0.6214,2.659,49
BFI-2,"Tends to feel depressed, blue.",53,0.6212,0.962,50
Individualism-collectivism IND-COL,I hate to disagree with others in my group,25,0.6204,3.237,49
Adult Temperament Questionnaire,I rarely ever have days where I don’t at least experience brief moments of intense happiness.,27,0.62,3.128,47
MCQ-30,Worrying helps me cope,18,0.6191,0.408,50
ECR-R (Experiences in Close Relationships–Revised),I usually discuss my problems and concerns with my partner.,27,0.6189,1.717,47
BAI,Scared,16,0.6184,0.787,48
Meaning in Life Questionnaire (MLQ),I am always searching for something that makes my life feel significant.,6,0.6164,3.009,47
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I become embarrassed for feeling that way",11,0.6163,0.854,47
DASS-21,I was unable to become enthusiastic about anything,15,0.6157,0.866,49
BSI,Feeling hopeless about the future,34,0.615,0.997,46
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I have difficulty concentrating",25,0.6146,1.068,49
Religious Orientation Scale-R,I have often had a strong sense of God’s presence. ,4,0.6146,1.487,50
MCQ-30,I could make myself sick with worrying,3,0.6142,0.698,48
ECR-R (Experiences in Close Relationships–Revised),My desire to be very close sometimes scares people away.,13,0.6136,1.708,49
Spheres of Control-3,I can usually develop a personal relationship with someone I find appealing.,10,0.6135,2.096,50
Basic Psychological Needs Scale,"When I am with XXXXXXX, I often feel a lot of distance in our relationship.",47,0.6134,2.627,47
BSI,Having to check and double check what you do,25,0.6113,0.857,50
Need for Closure Scale (NFCS),I dislike questions which could be answered in many different ways.,3,0.6111,1.627,48
Five Facet Mindfullness Questionnaire (FFMQ),"When I have a sensation in my body, it’s difficult for me to describe it because I can’t find the right words.",21,0.61,0.882,47
IRQ,"When I hear someone talking, I see words written down in my mind",22,0.6092,1.22,50
Religious Orientation Scale-R,I try hard to live all my life according to my religious beliefs. ,6,0.6091,0.883,48
Varieties of Inner Speech Questionnaire,"I think in inner speech about what I have done, and whether it was right or not.",8,0.6078,2.709,48
IRQ,"When I am introduced to someone for the first time, I imagine their name written",24,0.6073,0.937,49
HEXACO,I clean my office or home quite frequently.,1,0.6071,0.844,48
Personal Need for Structure (PNS) Scale,I hate to change my plans at the last minute,7,0.6065,2.434,47
Balanced Inventory of Desirable Responding Version 6,I have some pretty awful habits.,38,0.6059,1.778,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I believe that there is nothing I can do to make myself feel better",27,0.6046,0.736,47
Balanced Inventory of Desirable Responding Version 6,I have sometimes doubted my ability as a lover.,17,0.6043,2.098,49
BSI,Feeling blue,16,0.6041,0.607,46
The Internal Representation Questionnaire,I often talk to myself internally while watching TV,19,0.604,1.128,47
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I start to feel very bad about myself",29,0.6038,1.011,49
CERQ (Cognitive Emotion Regulation Questionnaire),I often think about how I feel about what I have experienced.,8,0.6031,0.882,50
DASS-21,I found myself getting agitated,10,0.6023,0.56,48
DASS-21,I felt that I had nothing to look forward to,9,0.6022,0.762,48
BIS_BAS Scales,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",1,0.6019,1.233,50
PROTESTANT WORK ETHIC SCALE_,I often feel I would be more successful if I sacrificed certain pleasures,7,0.6011,0.497,49
BFI-2,Is sometimes rude to others.,36,0.6004,0.665,48
CERQ (Cognitive Emotion Regulation Questionnaire),I think of pleasant things that have nothing to do with it.,13,0.5996,0.675,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I feel like I am weak",22,0.5991,0.722,48
BSI,Feeling inferior to others,21,0.5989,0.622,48
Adult Temperament Questionnaire,"When I am trying to focus my attention, I am easily distracted.",28,0.5983,2.653,50
BFI-2,Often feels sad.,38,0.5975,0.786,50
BSI,Feeling fearful,18,0.5968,0.8,50
BSI,Trouble remembering things,4,0.5961,0.598,47
BFI-2,Starts arguments with others.,21,0.5961,0.665,50
BSI,Faintness or dizziness,1,0.5953,0.516,47
BFI-2,Can be somewhat careless.,27,0.5953,0.861,50
State Trait Anxiety Inventory,I feel indecisive,13,0.5952,0.637,48
HEXACO,"On most days, I feel cheerful and optimistic.",45,0.5929,0.436,48
Varieties of Inner Speech Questionnaire,"When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",9,0.5925,2.878,49
Interpersonal Reactivity Index (IRI),"When I see someone who badly needs help in an emergency, I go to pieces.",26,0.5914,0.768,50
Belief in a Just World Scale,"I believe that, by and large, people get what they deserve.",0,0.5909,0.547,49
State Trait Anxiety Inventory,I feel upset,5,0.5904,0.51,48
Five Facet Mindfullness Questionnaire (FFMQ),I criticize myself for having irrational or inappropriate emotions.,2,0.5903,1.472,47
Personal Need for Structure (PNS) Scale,It upsets me to go into a situation without knowing what I can expect from it,0,0.5899,2.022,49
Individualism-collectivism IND-COL,Before making a major trip‚ I consult with most members of my family and many friends,29,0.5887,2.968,48
Adult Temperament Questionnaire,I am often aware of the sounds of birds in my vicinity.,20,0.5884,2.829,48
Balanced Inventory of Desirable Responding Version 6,I have taken sick-leave from work or school even though I wasn’t really sick.,36,0.5882,1.207,49
Interpersonal Reactivity Index (IRI),I really get involved with the feelings of the characters in a novel.,4,0.588,1.261,50
HEXACO,I tend to feel quite self-conscious when speaking in front of a group of people.,81,0.5871,1.365,47
ECR-R (Experiences in Close Relationships–Revised),I often worry that my partner will not want to stay with me.,1,0.5867,2.296,48
Self-Talk Scale,I’m really upset with myself,9,0.5863,1.125,49
BFI-2,Can be tense.,18,0.586,0.977,48
DASS-21,I was intolerant of anything that kept me from getting on with what I was doing,13,0.5857,0.673,50
Religious Orientation Scale-R,My whole approach to life is based on my religion. ,11,0.5857,1.213,49
BSI,Pains in the heart or chest,6,0.5851,1.2,45
BAI,Faint / lightheaded,18,0.585,0.504,49
BSI,Feeling very self-conscious with others,41,0.5838,0.816,50
ECR-R (Experiences in Close Relationships–Revised),I'm afraid that I will lose my partner's love.,0,0.5834,1.998,48
BSI,Feeling of guilt,51,0.5831,0.595,48
Adult Temperament Questionnaire,"When I am enclosed in small places such as an elevator, I feel uneasy.",21,0.5829,2.175,50
MCQ-30,I need to worry in order to work well,27,0.5823,0.473,47
Belief in a Just World Scale,I feel that people get what they are entitled to have.,1,0.5812,0.834,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I have difficulty focusing on other things",17,0.5804,1.212,50
HEXACO,"When people tell me that I’m wrong, my first reaction is to argue with them.",62,0.58,0.779,49
BSI,Feeling no interest in things,17,0.5799,0.829,48
Five Facet Mindfullness Questionnaire (FFMQ),I perceive my feelings and emotions without having to react to them.,3,0.5781,1.18,48
IRQ,"I see words in my ""mind’s eye"" when I think",23,0.5776,1.678,49
Interpersonal Reactivity Index (IRI),I sometimes find it difficult to see things from the “other guy’s” point of view.,2,0.5773,0.594,49
SVQ,I sometimes verbalize my thoughts when I'm feeling disappointed about something,26,0.5755,2.414,48
MCQ-30,Worrying helps me to solve problems,22,0.5752,0.431,49
BSI,Feeling nervous when you are left alone,46,0.5748,0.663,49
BSI,Your feelings being easily hurt,19,0.5743,0.627,48
ECR-R (Experiences in Close Relationships–Revised),I often worry that my partner doesn't really love me.,2,0.5737,2.01,50
Need for Closure Scale (NFCS),I do not usually consult many different opinions before forming my own view.,38,0.5735,2.424,48
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I have difficulty thinking about anything else",32,0.5733,1.219,49
Self-Monitoring Scale-Revised,I am often able to read people’s true emotions correctly through their eyes.,1,0.573,2.041,48
DASS-21,I felt that life was meaningless,20,0.5724,0.687,47
Need for Closure Scale (NFCS),"In most social conflicts, I can easily see which side is right and which is wrong.",20,0.572,1.193,49
BSI,"Having to avoid certain things, places, or activities because they frighten you",30,0.572,0.719,48
SVQ,I sometimes guide myself using speech when I'm driving an unfamiliar car,18,0.5709,2.283,48
NEED FOR COGNITION SCALE,I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,15,0.5708,1.136,49
Meaning in Life Questionnaire (MLQ),I am searching for meaning in my life.,9,0.5708,3.13,47
Religious Orientation Scale-R,I enjoy reading about my religion. ,0,0.57,0.355,49
Varieties of Inner Speech Questionnaire,"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.",7,0.5699,1.791,49
Need for Closure Scale (NFCS),I feel uncomfortable when I don't understand the reason why an event occurred in my life.,7,0.5694,1.272,50
Varieties of Inner Speech Questionnaire,I talk silently to myself telling myself not to do things.,16,0.5691,2.331,47
SVQ,I sometimes think out loud to myself when I'm searching for something I've misplaced,9,0.5685,2.521,48
BAI,Indigestion,17,0.5683,0.415,50
Varieties of Inner Speech Questionnaire-R,"I hear the voice of another person in my head. For example, when I have done something foolish I hear my mother's voice criticising me in my mind.",2,0.5676,2.571,49
Varieties of Inner Speech Questionnaire-R,In my head I talk to myself a critical way.,19,0.5673,2.208,49
SVQ,I sometimes think out loud to myself when I need to remember a phone number,5,0.5673,3.117,50
State Trait Anxiety Inventory,I lack self-confidence,32,0.5672,0.671,49
NEED FOR COGNITION SCALE,I try to anticipate and avoid situations where there is likely a chance I will have to think in depth about something.,4,0.5657,1.445,49
SVQ,I sometimes verbalize my thoughts when I'm searching for an unfamiliar room,15,0.5646,2.367,50
MCQ-30,My worrying could make me go mad,14,0.564,0.497,49
SVQ,I sometimes think out loud to myself when I'm doing mental arithmetic,21,0.5635,1.884,50
BSI,Feeling others are to blame for most of your troubles,3,0.5633,0.461,48
BSI,Getting into frequent arguments,45,0.5632,0.553,48
MCQ-30,My worrying is dangerous for me,1,0.5608,0.659,48
DASS-21,I felt I was close to panic,14,0.5605,0.553,48
Basic Psychological Needs Scale,"When I am with XXXXXXX, I often feel inadequate or incompetent.",45,0.56,2.184,48
BAI,Fear of losing control,0,0.5599,0.696,49
Self-Monitoring Scale-Revised,If someone is lying to me‚ I usually know it at once from that person’s manner of expression.,10,0.5597,1.277,48
Basic Psychological Needs Scale,"Often, I do not feel very competent.",2,0.5594,1.446,49
State Trait Anxiety Inventory,I have disturbing thoughts.,31,0.5593,0.607,46
Moral Foundations Questionnaire (MFQ-30),Whether or not someone acted in a way that God would approve of,15,0.5593,2.489,48
Basic Psychological Needs Scale,My feelings are taken into consideration at work.,33,0.5591,2.29,49
Ambivalent Sexism Inventory,Women should be cherished and protected by men.,8,0.5591,1.925,48
BFI-2,Has difficulty imagining things.,44,0.5578,0.945,49
Moral Foundations Questionnaire (MFQ-30),Whether or not someone did something disgusting,10,0.5546,1.585,48
Social Dominance Orientation Scale 7,To get ahead in life‚ it is sometimes necessary to step on other groups.,3,0.5545,1.53,48
ECR-R (Experiences in Close Relationships–Revised),I worry that I won't measure up to other people.,16,0.5543,1.747,46
BAI,Terrified or afraid,8,0.554,0.669,49
State Trait Anxiety Inventory,I am happy.,30,0.5536,0.925,48
Adult Temperament Questionnaire,I am often aware of how the weather affects my mood.,68,0.5534,3.357,50
Self-Monitoring Scale-Revised,Even when it might be to my advantage‚ I have difficulty putting up a good front.,11,0.553,1.388,48
DASS-21,"I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)",18,0.553,0.539,50
